"","plot","HNO","DWTOTALLEAF","DWMSL","DWLBR","DWTOTALSTEM","DWAP","DWGP","DWMP","DWPOD","WHOLE","geno","DAP","site"
"63","108",5,7.563,2.605,4.958,4.149,NA,NA,NA,0,11.712,"RIJC214",41,1
"64","108",7,16.56,2.62,13.94,12.22,NA,NA,NA,3.8,32.58,"RIJC214",55,1
"65","108",3,1.903,1.625,0.278,0.52,NA,NA,NA,0,2.423,"RIJC214",27,1
"66","108",9,17.52,NA,17.52,19.03,0.873,NA,NA,6.22,42.77,"RIJC214",69,1
"67","108",6,12.09,4.26,7.83,7.78,NA,NA,NA,0.251,20.121,"RIJC214",48,1
"68","108",11,0,NA,NA,24.33,2.093,NA,12.422,14.515,38.845,"RIJC214",111,1
"69","108",8,21.05,2.49,18.56,16.08,NA,NA,NA,2.657,39.787,"RIJC214",62,1
"70","108",1,0.188,0.188,NA,0.0287,NA,NA,NA,0,0.2167,"RIJC214",13,1
"71","108",10,12.15,NA,12.15,27.77,NA,NA,NA,12.744,52.664,"RIJC214",76,1
"72","108",2,0.4473,0.4473,NA,0.0895,NA,NA,NA,0,0.5368,"RIJC214",20,1
"73","109",3,0.62,0.62,NA,0.16,NA,NA,NA,0,0.78,"RIJC238",27,1
"74","109",5,1.393,0.818,0.575,0.384,NA,NA,NA,0,1.777,"RIJC238",41,1
"75","109",7,5.561,1.691,3.87,1.65,NA,NA,NA,0.204,7.415,"RIJC238",55,1
"76","109",8,6.33,2.29,4.04,2.5,NA,NA,NA,1.687,10.517,"RIJC238",62,1
"77","109",9,6.96,NA,6.96,3.73,NA,NA,NA,8.728,19.418,"RIJC238",69,1
"78","109",10,6.91,NA,6.91,6.62,0.007,NA,NA,29.418,42.948,"RIJC238",76,1
"79","109",11,0.358,NA,0.358,2.466,0.21,NA,7.952,8.162,10.986,"RIJC238",104,1
"80","109",1,0.1738,0.1738,NA,0.0259,NA,NA,NA,0,0.1997,"RIJC238",13,1
"81","109",4,1.384,1.159,0.225,0.538,NA,NA,NA,0,1.922,"RIJC238",34,1
"82","109",2,0.3926,0.3876,0.005,0.0806,NA,NA,NA,0,0.4732,"RIJC238",20,1
"83","109",6,4.652,2.462,2.19,2.07,NA,0.331,NA,0.331,7.053,"RIJC238",48,1
"84","11",1,0.4081,0.4081,NA,0.0634,NA,NA,NA,0,0.4715,"TM2",13,1
"85","11",2,1.1098,1.0889,0.0209,0.1793,NA,NA,NA,0,1.2891,"TM2",20,1
"86","11",5,11.031,2.587,8.444,7.835,NA,NA,NA,0.134,19,"TM2",41,1
"87","11",6,26.673,6.413,20.26,16.26,NA,1.655,NA,1.655,44.588,"TM2",48,1
"88","11",8,22.195,3.91,18.285,17.019,NA,NA,NA,40.92,80.134,"TM2",62,1
"89","11",10,10.96,NA,10.96,15.52,0.526,NA,NA,103.526,130.006,"TM2",76,1
"90","11",11,1.649,NA,1.649,15.591,4.091,0.063,73.25,77.404,94.644,"TM2",83,1
"91","11",7,0,NA,NA,NA,NA,NA,56.37,56.37,56.37,"TM2",55,1
"92","11",3,3.301,2.825,0.476,0.94,NA,NA,NA,0,4.241,"TM2",27,1
"93","11",9,12,NA,12,11.16,0.051,NA,NA,67.241,90.401,"TM2",69,1
"94","11",4,7.521,4.686,2.835,3.0524,NA,NA,NA,0,10.5734,"TM2",34,1
"95","110",7,1.857,1.857,NA,0.338,NA,NA,NA,0,2.195,"RIJC352",55,1
