"","plot","HNO","DWTOTALLEAF","DWMSL","DWLBR","DWTOTALSTEM","DWAP","DWGP","DWMP","DWPOD","WHOLE","geno","DAP","site"
"899","192",7,27.215,5.645,21.57,21.78,NA,NA,NA,2.978,51.973,"RIJC316",56,1
"900","193",1,0.651,0.651,NA,0.0856,NA,NA,NA,0,0.7366,"RIJC264",14,1
"901","193",5,16.001,7.309,8.692,7.823,NA,NA,NA,0,23.824,"RIJC264",42,1
"902","193",7,25.37,9.09,16.28,19.57,NA,NA,NA,8.15,53.09,"RIJC264",56,1
"903","193",4,3.29,2.955,0.335,1.164,NA,NA,NA,0,4.454,"RIJC264",35,1
"904","193",10,24.31,NA,24.31,23.03,3.287,NA,NA,43.267,90.607,"RIJC264",77,1
"905","193",6,25.017,10.127,14.89,16.26,NA,NA,NA,1.773,43.05,"RIJC264",49,1
"906","193",2,1.0007,0.9896,0.0111,0.1475,NA,NA,NA,0,1.1482,"RIJC264",21,1
"907","193",9,25.31,NA,25.31,33.66,1.14,NA,NA,62.7,121.67,"RIJC264",70,1
"908","193",3,2.477,2.126,0.351,0.666,NA,NA,NA,0,3.143,"RIJC264",28,1
"909","193",11,5.756,NA,5.756,18.024,1.491,NA,50.99,52.481,76.261,"RIJC264",95,1
"910","194",10,37.48,NA,37.48,75.64,0.468,NA,NA,80.288,193.408,"RIJC247",77,1
"911","194",11,0,NA,NA,32.19,6.59,NA,6.46,13.05,45.24,"RIJC247",111,1
"912","194",9,30.04,NA,30.04,40.95,0.4,NA,NA,12.71,83.7,"RIJC247",70,1
"913","195",1,0.2762,0.2762,NA,0.0401,NA,NA,NA,0,0.3163,"RIJC139",14,1
"914","195",5,12.15,4.227,7.923,5.691,NA,NA,NA,0,17.841,"RIJC139",42,1
"915","195",7,31.67,2.54,29.13,22.27,NA,NA,NA,1.446,55.386,"RIJC139",56,1
"916","195",4,6.561,3.957,2.604,2.502,NA,NA,NA,0,9.063,"RIJC139",35,1
"917","195",9,23.83,NA,23.83,37.62,1.2,NA,NA,29.21,90.66,"RIJC139",70,1
"918","195",6,20.177,6.517,13.66,13.6,NA,NA,NA,1.172,34.949,"RIJC139",49,1
"919","195",2,0.7251,0.7006,0.0245,0.1498,NA,NA,NA,0,0.8749,"RIJC139",21,1
"920","195",8,37.524,6.834,30.69,43.24,NA,NA,NA,11.737,92.501,"RIJC139",63,1
"921","195",3,2.607,2.043,0.564,0.701,NA,NA,NA,0,3.308,"RIJC139",28,1
"922","195",10,24.1,NA,24.1,53.44,0.604,NA,NA,38.818,116.358,"RIJC139",77,1
"923","196",1,0.2959,0.2959,NA,0.0487,NA,NA,NA,0,0.3446,"TM6",14,1
"924","196",6,22.23,6.51,15.72,18.6,NA,NA,NA,0.302,41.132,"TM6",49,1
"925","196",3,2.106,1.7,0.406,0.482,NA,NA,NA,0,2.588,"TM6",28,1
"926","196",8,47.432,6.512,40.92,53.82,NA,NA,NA,53.22,154.472,"TM6",63,1
"927","196",9,22.21,NA,22.21,31.255,0.6194,NA,NA,39.5724,93.0374,"TM6",70,1
"928","196",10,25.88,NA,25.88,36.76,0.781,NA,NA,73.381,136.021,"TM6",77,1
"929","196",11,7.26,NA,7.26,31.14,NA,0.256,65.39,65.646,104.046,"TM6",112,1
"930","196",2,1.026,0.992,0.034,0.1891,NA,NA,NA,0,1.2151,"TM6",21,1
"931","196",5,13.522,4.543,8.979,7.912,NA,NA,NA,0,21.434,"TM6",42,1
"932","196",4,4.741,3.196,1.545,1.903,NA,NA,NA,0,6.644,"TM6",35,1
"933","196",7,33.532,7.522,26.01,22.39,NA,NA,NA,5.844,61.766,"TM6",56,1
"934","197",1,0.1767,0.1767,NA,0.0339,NA,NA,NA,0,0.2106,"RIJC020",14,1
"935","197",2,0.4929,0.4514,0.0415,0.0835,NA,NA,NA,0,0.5764,"RIJC020",21,1
"936","197",3,3.763,2.005,1.758,1.273,NA,NA,NA,0,5.036,"RIJC020",28,1
"937","197",6,14.015,4.815,9.2,9.21,NA,NA,NA,0.776,24.001,"RIJC020",49,1
"938","197",7,30.499,4.089,26.41,25.29,NA,NA,NA,9.773,65.562,"RIJC020",56,1
"939","197",10,29.98,NA,29.98,32.31,1.079,NA,NA,11.277,73.567,"RIJC020",77,1
"940","197",9,24.82,NA,24.82,31.59,0.2,NA,NA,43.26,99.67,"RIJC020",70,1
"941","197",4,7.494,2.335,5.159,3.51,NA,NA,NA,0,11.004,"RIJC020",35,1
"942","197",11,5.25,NA,5.25,28.83,0.5,11.98,39.61,52.09,86.17,"RIJC020",84,1
"943","197",5,8.434,1.652,6.782,4.567,NA,NA,NA,0,13.001,"RIJC020",42,1
"944","198",1,0.1904,0.1904,NA,0.0323,NA,NA,NA,0,0.2227,"RIJC220",14,1
"945","198",2,0.709,0.6092,0.0998,0.1703,NA,NA,NA,0,0.8793,"RIJC220",21,1
"946","198",3,3.06,1.66,1.4,0.82,NA,NA,NA,0,3.88,"RIJC220",28,1
"947","198",4,10.609,4.302,6.307,4.983,NA,NA,NA,0,15.592,"RIJC220",35,1
"948","198",5,20.593,9.492,11.101,2.921,NA,NA,NA,0,23.514,"RIJC220",42,1
"949","198",6,27.577,6.377,21.2,21.22,NA,NA,NA,1.931,50.728,"RIJC220",49,1
"950","198",7,32.684,4.994,27.69,33.26,NA,NA,NA,12.435,78.379,"RIJC220",56,1
"951","198",11,1.32,NA,1.32,31.68,1.914,6.58,38.3,46.794,79.794,"RIJC220",85,1
"952","198",9,28.95,NA,28.95,30.46,0.346,NA,NA,57.276,116.686,"RIJC220",70,1
"953","198",8,37.603,2.662,34.941,37.831,NA,NA,NA,31.947,107.381,"RIJC220",63,1
"954","198",10,21.21,NA,21.21,30.76,0.048,NA,NA,46.858,98.828,"RIJC220",77,1
"955","199",1,0.1422,0.1422,NA,0.0279,NA,NA,NA,0,0.1701,"RIJC335",14,1
"956","199",6,9.371,0.619,8.752,7.941,NA,NA,NA,2.013,19.325,"RIJC335",49,1
"957","199",7,15.063,3.943,11.12,9.62,NA,NA,NA,1.775,26.458,"RIJC335",56,1
"958","199",8,20.149,3.855,16.294,20.619,NA,NA,NA,2.032,42.8,"RIJC335",63,1
"959","199",10,5.43,NA,5.43,7.23,0.032,NA,NA,7.042,19.702,"RIJC335",77,1
"960","199",11,10.97,NA,10.97,80.29,4.487,0.362,35.589,40.438,131.698,"RIJC335",111,1
"961","2",1,0.1773,0.1773,NA,0.0278,NA,NA,NA,0,0.2051,"RIJC223",13,1
"962","2",2,0.3485,0.3475,0.001,0.0645,NA,NA,NA,0,0.413,"RIJC223",20,1
"963","2",3,1.727,1.242,0.485,0.355,NA,NA,NA,0,2.082,"RIJC223",27,1
"964","2",8,23.817,3.722,20.095,25.722,NA,NA,NA,3.945,53.484,"RIJC223",62,1
"965","2",5,7.632,2.451,5.181,3.958,NA,NA,NA,0,11.59,"RIJC223",41,1
"966","2",11,0,NA,NA,31.541,2.204,NA,40.66,42.864,74.405,"RIJC223",99,1
"967","2",4,4.4601,3.0532,1.4069,1.4199,NA,NA,NA,0,5.88,"RIJC223",34,1
"968","2",7,19.43,2.75,16.68,15.94,NA,NA,NA,1.45,36.82,"RIJC223",55,1
"969","2",6,19.01,5.711,13.299,12.394,NA,NA,NA,0.066,31.47,"RIJC223",48,1
"970","2",10,12.19,NA,12.19,20.28,0.709,NA,NA,17.885,50.355,"RIJC223",76,1
"971","20",1,0.1926,0.1926,NA,0.0371,NA,NA,NA,0,0.2297,"RIJC059",13,1
"972","20",3,1.56,1.24,0.32,0.33,NA,NA,NA,0,1.89,"RIJC059",27,1
"973","20",6,28.479,4.823,23.656,17.173,NA,NA,NA,0.15,45.802,"RIJC059",48,1
"974","20",7,27.344,4.274,23.07,20.1,NA,1.16,NA,1.16,48.604,"RIJC059",55,1
"975","20",10,35.52,NA,35.52,59.5,NA,NA,NA,21.279,116.299,"RIJC059",76,1
"976","20",4,3.5418,1.7331,1.8087,1.4681,NA,NA,NA,0,5.0099,"RIJC059",34,1
"977","20",8,48.38,1.77,46.61,42.44,NA,NA,NA,13.58,104.4,"RIJC059",62,1
"978","20",5,8.721,2.882,5.839,4.775,NA,NA,NA,0,13.496,"RIJC059",41,1
"979","20",11,2.05,NA,2.05,50.13,3.001,NA,21.738,24.739,76.919,"RIJC059",106,1
"980","200",1,0.1852,0.1852,NA,0.0307,NA,NA,NA,0,0.2159,"RIJC243",14,1
"981","200",5,11.74,4.542,7.198,7.092,NA,NA,NA,0,18.832,"RIJC243",42,1
"982","200",7,22.53,6.76,15.77,15.7,NA,NA,NA,3.271,41.501,"RIJC243",56,1
"983","200",4,8.244,3.62,4.624,3.143,NA,NA,NA,0,11.387,"RIJC243",35,1
"984","200",9,17.54,NA,17.54,21.92,0.97,NA,NA,57.99,97.45,"RIJC243",70,1
"985","200",6,16.65,6.01,10.64,10.61,NA,NA,NA,0,27.26,"RIJC243",49,1
"986","200",11,8.08,NA,8.08,27.89,5.32,1.16,NA,14.88,50.85,"RIJC243",111,1
"987","200",8,18.678,3.118,15.56,14.09,NA,NA,NA,1.086,33.854,"RIJC243",63,1
"988","200",2,0.9691,0.9294,0.0397,0.1162,NA,NA,NA,0,1.0853,"RIJC243",21,1
"989","200",10,19.56,NA,19.56,29.22,0.601,NA,NA,7.596,56.376,"RIJC243",77,1
"990","200",3,1.353,1.218,0.135,0.281,NA,NA,NA,0,1.634,"RIJC243",28,1
"991","201",9,6.89,NA,6.89,6.42,0.04,NA,NA,4.34,17.65,"RIJC015",70,1
"992","201",10,6.27,NA,6.27,9.94,0.596,NA,NA,12.431,28.641,"RIJC015",77,1
"993","201",7,10.034,2.161,7.873,7.124,NA,NA,NA,4.423,21.581,"RIJC015",56,1
"994","201",8,10.671,1.751,8.92,7.8,NA,NA,NA,3.575,22.046,"RIJC015",63,1
"995","202",1,0.3371,0.3371,NA,0.0457,NA,NA,NA,0,0.3828,"RIJC223",14,1
"996","202",2,0.5339,0.5339,NA,0.097,NA,NA,NA,0,0.6309,"RIJC223",21,1
"997","202",3,3.525,2.694,0.831,0.841,NA,NA,NA,0,4.366,"RIJC223",28,1
"998","202",4,5.075,2.466,2.609,1.828,NA,NA,NA,0,6.903,"RIJC223",35,1
"999","202",5,9.409,2.296,7.113,4.364,NA,NA,NA,0,13.773,"RIJC223",42,1
"1000","202",7,24.415,5.155,19.26,21.58,NA,NA,NA,4.639,50.634,"RIJC223",56,1
"1001","202",8,19.417,3.562,15.855,18.395,NA,NA,NA,6.321,44.133,"RIJC223",63,1
"1002","202",9,20.55,NA,20.55,36.41,1.77,NA,NA,19.29,76.25,"RIJC223",70,1
"1003","202",10,13.77,NA,13.77,21.44,0.141,NA,NA,9.073,44.283,"RIJC223",77,1
"1004","202",11,1.5,NA,1.5,31.96,3.035,NA,NA,16.723,50.183,"RIJC223",112,1
"1005","203",4,6.819,3.687,3.132,2.64,NA,NA,NA,0,9.459,"RIJC361",35,1
"1006","203",6,17.114,6.804,10.31,8.97,NA,NA,NA,0,26.084,"RIJC361",49,1
"1007","203",2,0.42375,0.42375,NA,0.1115,NA,NA,NA,0,0.53525,"RIJC361",21,1
"1008","203",9,23.66,NA,23.66,28.12,0.16,NA,NA,1.18,52.96,"RIJC361",70,1
"1009","203",5,9.164,1.136,8.028,4.191,NA,NA,NA,0,13.355,"RIJC361",42,1
"1010","203",11,4.29,NA,4.29,40.89,0.047,0.04,0.129,0.216,45.396,"RIJC361",112,1
"1011","203",8,46.465,4.845,41.62,47.96,NA,NA,NA,2.427,96.852,"RIJC361",63,1
"1012","203",3,2.2832,1.9112,0.372,0.634,NA,NA,NA,0,2.9172,"RIJC361",28,1
"1013","203",10,4.32,NA,4.32,8.22,NA,NA,NA,0,12.54,"RIJC361",77,1
"1014","203",1,0.0449,0.0449,NA,0.0255,NA,NA,NA,0,0.0704,"RIJC361",14,1
"1015","204",5,7.624,4.545,3.079,1.771,NA,NA,NA,0,9.395,"RIJC355",42,1
"1016","204",6,14.4295,5.724,8.7055,6.8015,NA,NA,NA,0.234,21.465,"RIJC355",49,1
"1017","204",11,0,NA,NA,33.57,14.61,1.11,19.17,34.89,68.46,"RIJC355",112,1
"1018","204",8,32.819,16.425,16.394,15.941,NA,NA,NA,10.07,58.83,"RIJC355",63,1
"1019","204",7,34.548,12.568,21.98,14.96,NA,NA,NA,0.591,50.099,"RIJC355",56,1
"1020","204",10,23.05,NA,23.05,36.45,NA,NA,NA,29.84,89.34,"RIJC355",77,1
"1021","204",9,35.02,NA,35.02,24.52,NA,NA,NA,19.469,79.009,"RIJC355",70,1
"1022","205",5,16.833,8.038,8.795,7.043,NA,NA,NA,0,23.876,"JAM",42,1
"1023","205",7,16.307,7.957,8.35,14.25,NA,NA,NA,4.908,35.465,"JAM",56,1
"1024","205",4,3.377,2.927,0.45,1.157,NA,NA,NA,0,4.534,"JAM",35,1
"1025","205",9,12.07,NA,12.07,13.12,0.16,NA,NA,13.3,38.49,"JAM",70,1
"1026","205",6,21.98,21.98,NA,7.246,NA,NA,NA,0.342,29.568,"JAM",49,1
"1027","205",11,1.43,NA,1.43,22.45,2.17,NA,NA,89.62,113.5,"JAM",111,1
"1028","205",8,23.958,5.793,18.165,14.82,NA,NA,NA,16.405,55.183,"JAM",63,1
"1029","205",1,0.1934,0.1934,NA,0.0326,NA,NA,NA,0,0.226,"JAM",14,1
"1030","205",10,11.94,NA,11.94,17.75,0.092,NA,NA,58.002,87.692,"JAM",77,1
"1031","205",2,0.4776,0.4776,NA,0.0879,NA,NA,NA,0,0.5655,"JAM",21,1
"1032","206",11,10.34,NA,10.34,70.51,7.066,NA,NA,7.716,88.566,"RIJC019",111,1
"1033","206",9,32.69,NA,32.69,37.09,0.191,NA,NA,22.086,91.866,"RIJC019",70,1
"1034","206",10,22.34,NA,22.34,40.38,0.126,NA,NA,35.805,98.525,"RIJC019",77,1
"1035","207",4,3.157,2.26,0.897,1.298,NA,NA,NA,0,4.455,"RIJC138",35,1
"1036","207",6,15.57,5,10.57,14.8,NA,NA,NA,0.53,30.9,"RIJC138",49,1
"1037","207",3,1.201,1.086,0.115,0.34,NA,NA,NA,0,1.541,"RIJC138",28,1
"1038","207",8,30.651,3.701,26.95,45.22,NA,NA,NA,18.482,94.353,"RIJC138",63,1
"1039","207",5,7.205,3.611,3.594,3.552,NA,NA,NA,0,10.757,"RIJC138",42,1
"1040","207",10,11.76,NA,11.76,30.94,NA,NA,NA,28.302,71.002,"RIJC138",77,1
"1041","207",7,34.09,4.49,29.6,33.3,NA,NA,NA,3.883,71.273,"RIJC138",56,1
"1042","207",11,0.06,NA,0.06,26.05,14.54,NA,32.54,47.08,73.19,"RIJC138",111,1
"1043","207",9,14.77,NA,14.77,25.55,1.22,NA,NA,24.73,65.05,"RIJC138",70,1
"1044","207",1,0.0795,0.0795,NA,0.0124,NA,NA,NA,0,0.0919,"RIJC138",14,1
"1045","207",2,0.423,0.423,NA,0.0707,NA,NA,NA,0,0.4937,"RIJC138",21,1
"1046","208",5,10.562,4.051,6.511,4.421,NA,NA,NA,0,14.983,"RIJC261",42,1
"1047","208",7,38.09,2.49,35.6,26.92,NA,NA,NA,5.145,70.155,"RIJC261",56,1
"1048","208",3,1.516,1.448,0.068,0.39,NA,NA,NA,0,1.906,"RIJC261",28,1
"1049","208",9,23.46,NA,23.46,34.8,1.169,NA,NA,13.707,71.967,"RIJC261",70,1
"1050","208",6,19.482,2.202,17.28,13.24,NA,NA,NA,0.336,33.058,"RIJC261",49,1
"1051","208",11,0.661,NA,0.661,31.36,1.664,NA,NA,74.944,106.965,"RIJC261",112,1
"1052","208",8,15.838,1.588,14.25,25.51,NA,NA,NA,13.121,54.469,"RIJC261",63,1
"1053","208",4,4.042,2.916,1.126,1.305,NA,NA,NA,0,5.347,"RIJC261",35,1
"1054","208",10,12.84,NA,12.84,18.59,0.302,NA,NA,30.705,62.135,"RIJC261",77,1
"1055","208",1,0.1231,0.1231,NA,0.018,NA,NA,NA,0,0.1411,"RIJC261",14,1
"1056","209",1,0.1218,0.1218,NA,0.0187,NA,NA,NA,0,0.1405,"RIJC017",14,1
"1057","209",2,0.5025,0.4739,0.0286,0.0795,NA,NA,NA,0,0.582,"RIJC017",21,1
"1058","209",5,10.678,4.662,6.016,3.456,NA,NA,NA,0,14.134,"RIJC017",42,1
"1059","209",6,20.12,5.93,14.19,14.41,NA,NA,NA,6.51,41.04,"RIJC017",49,1
"1060","209",8,0,NA,NA,31.356,NA,NA,NA,19.574,50.93,"RIJC017",63,1
"1061","209",10,14.41,NA,14.41,23.49,0.006,NA,NA,40.456,78.356,"RIJC017",77,1
"1062","209",11,1.054,NA,1.054,22.066,0.631,0.0105,39.556,40.1975,63.3175,"RIJC017",95,1
"1063","209",7,29.83,6.84,22.99,19.52,NA,NA,NA,5.126,54.476,"RIJC017",56,1
"1064","209",3,1.42,1.259,0.161,0.301,NA,NA,NA,0,1.721,"RIJC017",28,1
"1065","209",9,18.3,NA,18.3,27.12,0.491,NA,NA,36.284,81.704,"RIJC017",70,1
"1066","209",4,3.451,2.5,0.951,0.952,NA,NA,NA,0,4.403,"RIJC017",35,1
"1067","21",1,0,NA,NA,0.023,NA,NA,NA,0,0.023,"RIJC003",13,1
"1068","21",2,0.6664,0.6664,NA,0.0954,NA,NA,NA,0,0.7618,"RIJC003",20,1
"1069","21",3,2.022,1.649,0.373,0.425,NA,NA,NA,0,2.447,"RIJC003",27,1
"1070","21",5,10.386,3.159,7.227,5.453,NA,NA,NA,0.645,16.484,"RIJC003",41,1
"1071","21",6,17.808,3.338,14.47,11.53,NA,2.936,NA,2.936,32.274,"RIJC003",48,1
"1072","21",11,0,NA,NA,17.78,3.671,NA,34.569,38.24,56.02,"RIJC003",106,1
"1073","21",8,27.773,4.373,23.4,24.12,NA,NA,NA,12.398,64.291,"RIJC003",62,1
"1074","21",10,13.28,NA,13.28,34.74,3.062,NA,NA,26.828,74.848,"RIJC003",76,1
"1075","21",9,10.02,NA,10.02,13.62,NA,NA,NA,29.787,53.427,"RIJC003",69,1
"1076","21",7,17.269,1.529,15.74,14.77,NA,NA,NA,20.391,52.43,"RIJC003",55,1
"1077","210",4,2.3,2.08,0.22,0.9,NA,NA,NA,0,3.2,"RIJC337",35,1
"1078","210",2,0.2005,0.2005,NA,0.0528,NA,NA,NA,0,0.2533,"RIJC337",21,1
"1079","210",3,0.51,0.51,NA,0.133,NA,NA,NA,0,0.643,"RIJC337",28,1
"1080","210",5,6.844,2.434,4.41,3.642,NA,NA,NA,0,10.486,"RIJC337",42,1
"1081","210",6,11.548,2.897,8.651,5.769,NA,NA,NA,0.142,17.459,"RIJC337",49,1
"1082","210",7,27.28,5.1,22.18,20.91,NA,NA,NA,0.199,48.389,"RIJC337",56,1
"1083","210",8,26.5145,6.2585,20.256,24.196,NA,NA,NA,3.2085,53.919,"RIJC337",63,1
"1084","210",10,47.2,NA,47.2,78.36,2.919,NA,NA,20.955,146.515,"RIJC337",77,1
"1085","210",11,4.312,NA,4.312,50.88,1.232,0.199,15.773,17.204,72.396,"RIJC337",112,1
"1086","210",9,30.28,NA,30.28,45.23,0.549,NA,NA,8.872,84.382,"RIJC337",70,1
"1087","211",1,0,NA,NA,0.0202,NA,NA,NA,0,0.0202,"RIJC217",14,1
"1088","211",5,10.162,2.873,7.289,6.337,NA,NA,NA,0.435,16.934,"RIJC217",42,1
"1089","211",7,14.613,3.223,11.39,18.44,NA,NA,NA,14.889,47.942,"RIJC217",56,1
"1090","211",4,4.74,1.536,3.204,1.705,NA,NA,NA,0,6.445,"RIJC217",35,1
"1091","211",10,2.02,NA,2.02,8.12,0.459,NA,NA,16.591,26.731,"RIJC217",77,1
"1092","211",6,11.54,3.11,8.43,9.47,NA,NA,NA,1.12,22.13,"RIJC217",49,1
"1093","211",8,9.284,2.684,6.6,10.88,NA,NA,NA,22.433,42.597,"RIJC217",63,1
"1094","211",2,0.4928,0.4928,NA,0.1859,NA,NA,NA,0,0.6787,"RIJC217",21,1
"1095","211",11,0.12,NA,0.12,12.03,0.2,2.97,46.55,49.72,61.87,"RIJC217",84,1
"1096","211",3,2.087,1.828,0.259,0.456,NA,NA,NA,0,2.543,"RIJC217",28,1
"1097","212",1,0,NA,NA,0.0157,NA,NA,NA,0,0.0157,"RIJC330",14,1
"1098","212",4,3.418,2.633,0.785,1.514,NA,NA,NA,0,4.932,"RIJC330",35,1
"1099","212",5,13.617,4.664,8.953,9.695,NA,NA,NA,0,23.312,"RIJC330",42,1
"1100","212",7,17.915,7.225,10.69,17.99,NA,NA,NA,4.288,40.193,"RIJC330",56,1
"1101","212",9,19.54,NA,19.54,31.42,1.045,NA,NA,15.705,66.665,"RIJC330",70,1
"1102","212",10,9.98,NA,9.98,14.23,4.271,NA,NA,7.732,31.942,"RIJC330",77,1
"1103","212",11,1.993,NA,1.993,17.02,4.55,0.05,35.325,39.925,58.938,"RIJC330",95,1
"1104","212",2,0.5088,0.4891,0.0197,0.0838,NA,NA,NA,0,0.5926,"RIJC330",21,1
"1105","212",6,5.519,3.019,2.5,4.97,NA,NA,NA,0.892,11.381,"RIJC330",49,1
"1106","212",3,3.261,2.696,0.565,0.914,NA,NA,NA,0,4.175,"RIJC330",28,1
"1107","212",8,12.361,1.471,10.89,18.68,NA,NA,NA,13.721,44.762,"RIJC330",63,1
"1108","213",4,3.753,2.853,0.9,0.852,NA,NA,NA,0,4.605,"RIJC025",35,1
"1109","213",1,0.0638,0.0638,NA,0.0081,NA,NA,NA,0,0.0719,"RIJC025",14,1
"1110","213",2,0.284,0.284,NA,0.0394,NA,NA,NA,0,0.3234,"RIJC025",21,1
"1111","213",5,7.396,2.188,5.208,2.836,NA,NA,NA,0,10.232,"RIJC025",42,1
"1112","213",10,29.46,NA,29.46,35.04,0.728,NA,NA,25.922,90.422,"RIJC025",77,1
"1113","213",7,15.64,4.11,11.53,10.11,NA,NA,NA,0.89,26.64,"RIJC025",56,1
"1114","213",9,16.32,NA,16.32,14.83,0.13,NA,NA,5.81,36.96,"RIJC025",70,1
"1115","213",6,13.71,5.57,8.14,8.11,NA,NA,NA,0,21.82,"RIJC025",49,1
"1116","213",11,0,NA,NA,20.54,0.409,NA,39.229,39.638,60.178,"RIJC025",111,1
"1117","213",8,16.06,2.192,13.868,14.216,NA,NA,NA,3.481,33.757,"RIJC025",63,1
"1118","214",1,0.1571,0.1571,NA,0.0223,NA,NA,NA,0,0.1794,"RIJC136",14,1
"1119","214",2,0.5566,0.5192,0.0374,0.0762,NA,NA,NA,0,0.6328,"RIJC136",21,1
"1120","214",3,1.756,1.572,0.184,0.437,NA,NA,NA,0,2.193,"RIJC136",28,1
"1121","214",4,2.21,1.89,0.32,0.77,NA,NA,NA,0,2.98,"RIJC136",35,1
"1122","214",5,11.406,5.088,6.318,4.904,NA,NA,NA,0,16.31,"RIJC136",42,1
"1123","214",6,12.305,6.395,5.91,5.28,NA,NA,NA,0.443,18.028,"RIJC136",49,1
"1124","214",8,14.574,3.754,10.82,14.15,NA,NA,NA,1.988,30.712,"RIJC136",63,1
"1125","214",9,21.04,NA,21.04,17.49,0.17,NA,NA,1.56,40.09,"RIJC136",70,1
"1126","214",10,19.02,NA,19.02,23.98,0.902,NA,NA,15.649,58.649,"RIJC136",77,1
"1127","214",11,10.22,NA,10.22,47.52,8.68,2.53,18.28,29.49,87.23,"RIJC136",112,1
"1128","215",4,6.595,2.107,4.488,2.361,NA,NA,NA,0,8.956,"RIJC003",35,1
"1129","215",6,21.571,3.041,18.53,11.38,NA,NA,NA,2.202,35.153,"RIJC003",49,1
"1130","215",3,2.815,1.995,0.82,0.742,NA,NA,NA,0,3.557,"RIJC003",28,1
"1131","215",8,17.705,1.035,16.67,27.33,NA,NA,NA,6.692,51.727,"RIJC003",63,1
"1132","215",5,11.492,2.503,8.989,7.142,NA,NA,NA,1.052,19.686,"RIJC003",42,1
"1133","215",10,32.31,NA,32.31,41.28,2.613,NA,NA,33.553,107.143,"RIJC003",77,1
"1134","215",7,14.564,3.154,11.41,12.43,NA,NA,NA,3.617,30.611,"RIJC003",56,1
"1135","215",11,3.575,NA,3.575,41.53,2.371,1.69,32.37,36.431,81.536,"RIJC003",95,1
"1136","215",9,22.41,NA,22.41,31.16,2.017,NA,NA,39.345,92.915,"RIJC003",70,1
"1137","215",1,0.2468,0.2468,NA,0.0232,NA,NA,NA,0,0.27,"RIJC003",14,1
"1138","215",2,0.7309,0.6762,0.0547,0.1354,NA,NA,NA,0,0.8663,"RIJC003",21,1
"1139","216",4,3.897,2.815,1.082,1.101,NA,NA,NA,0,4.998,"RIJC262",35,1
"1140","216",5,9.671,4.545,5.126,3.969,NA,NA,NA,0,13.64,"RIJC262",42,1
"1141","216",7,29.74,5.77,23.97,21.92,NA,NA,NA,0.155,51.815,"RIJC262",56,1
"1142","216",11,7.44,NA,7.44,64.98,5.705,NA,28.732,34.437,106.857,"RIJC262",112,1
"1143","216",6,12.63,4.39,8.24,9.06,NA,NA,NA,0,21.69,"RIJC262",49,1
"1144","216",1,0,NA,NA,0.0173333333333333,NA,NA,NA,0,0.0173333333333333,"RIJC262",14,1
"1145","216",9,30.26,NA,30.26,32.24,0.089,NA,NA,2.643,65.143,"RIJC262",70,1
"1146","216",2,0.3277,0.3277,NA,0.0515,NA,NA,NA,0,0.3792,"RIJC262",21,1
"1147","217",1,0.1161,0.1161,NA,0.0188,NA,NA,NA,0,0.1349,"RIJC230",14,1
"1148","217",2,0.5367,0.5367,NA,0.0973,NA,NA,NA,0,0.634,"RIJC230",21,1
"1149","217",3,1.394,1.318,0.076,0.353,NA,NA,NA,0,1.747,"RIJC230",28,1
"1150","217",4,3.007,2.125,0.882,NA,NA,NA,NA,0,3.007,"RIJC230",35,1
"1151","217",5,9.014,5.092,3.922,2.534,NA,NA,NA,0,11.548,"RIJC230",42,1
"1152","217",6,8.06,4.72,3.34,4.86,NA,NA,NA,0,12.92,"RIJC230",49,1
"1153","217",10,10.53,NA,10.53,11.69,NA,NA,NA,18.97,41.19,"RIJC230",77,1
"1154","217",8,10.414,4.704,5.71,8.07,NA,NA,NA,4.385,22.869,"RIJC230",63,1
"1155","217",7,23.853,9.603,14.25,13.282,NA,NA,NA,1.561,38.696,"RIJC230",56,1
"1156","217",9,12.23,NA,12.23,14.61,NA,NA,NA,5.252,32.092,"RIJC230",70,1
"1157","218",4,1.68,1.56,0.12,0.47,NA,NA,NA,0,2.15,"RIJC235",35,1
"1158","218",6,11.862,7.732,4.13,4.49,NA,NA,NA,0,16.352,"RIJC235",49,1
"1159","218",7,23.744,8.184,15.56,15.62,NA,NA,NA,3.354,42.718,"RIJC235",56,1
"1160","218",8,15.358,2.318,13.04,13.99,NA,NA,NA,1.537,30.885,"RIJC235",63,1
"1161","218",10,18.27,NA,18.27,28.46,NA,NA,NA,13.83,60.56,"RIJC235",77,1
"1162","218",11,11.38,NA,11.38,45.79,2.42,1.59,25.53,29.54,86.71,"RIJC235",111,1
"1163","219",1,0.1296,0.1296,NA,0.0219,NA,NA,NA,0,0.1515,"RIJC147",14,1
"1164","219",2,0.5719,0.5199,0.052,0.1121,NA,NA,NA,0,0.684,"RIJC147",21,1
"1165","219",3,1.229,1.191,0.038,0.314,NA,NA,NA,0,1.543,"RIJC147",28,1
"1166","219",8,15.123,6.604,8.519,21.148,NA,NA,NA,0.594,36.865,"RIJC147",63,1
"1167","219",5,12.363,5.634,6.729,6.593,NA,NA,NA,0,18.956,"RIJC147",42,1
"1168","219",10,27.73,NA,27.73,53.21,0.815,NA,NA,13.444,94.384,"RIJC147",77,1
"1169","219",11,0.1,NA,0.1,53.27,9.24,NA,2.91,12.15,65.52,"RIJC147",111,1
"1170","219",4,3.12,2.538,0.582,1.09,NA,NA,NA,0,4.21,"RIJC147",35,1
