HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
4,68,,2.093,1.09,1.241,,,,,
5,68,,1.587,7.839,4.978,,,,,
6,68,,7.39,10.41,8.49,,,,,
7,68,,5.018,10.06,8.78,,,0.259,,
8,68,,3.72,35.74,26.58,,,4.89,,
9,68,,,29,32.81,0.167,,13.455,,
11,69,,,3.434,27.933,5.837,0.091,,79.58,
1,69,,0.228,*,0.0463,,,,,
10,69,,,16.62,25.71,7.445,,73.84,,
2,69,,0.8968,0.0214,0.2126,,,,,
3,69,,2.432,0.81,1.1,,,,,
5,69,,5.449,6.992,9.408,,,,,
6,69,,5.354,12.47,18.94,,,1.695,,
7,69,,5.254,17.23,27.89,,,21.55,,
8,69,,3.54,20.831,28.81,,,33.244,,
9,69,,,18.58,28.74,2.721,,74.88,,
11,70,,,11.024,51.01,8.686,0,,6.342,
1,70,,0.2714,,0.0308,,,,,
10,70,,.,37.22,54,0.531,,25.85,,
10,70,,,,,,,30.98,,
10,70,37.22,,,54,0.531,,25.85,,
2,70,,0.2874,*,0.0429,,,,,
3,70,,0.77,*,0.128,,,,,
5,70,,3.749,10.583,6.602,,,0.191,,
6,70,,3.755,15.227,7.656,,,0.326,,
7,70,,5.11,22.26,12.92,,,3.87,,
8,70,,11.232,39.92,37.8,,,17.915,,
11,71,,0,18.96,39.85,1.12,,16.64,,
1,71,,0.2376,,0.0397,,,,,
10,71,,,37.8,40.28,0.4,,19.05,,
2,71,,0.7466,0.0065,0.1531,,,,,
3,71,,1.914,0.534,0.587,,,,,
5,71,,4.512,8.832,6.768,,,,,
6,71,,5.462,13.48,11.28,,,0.101,,
7,71,,4.724,19.66,15.66,,,0.771,,
8,71,,8.93,48.43,36.96,,,26.507,,
9,71,,,41.93,36.16,0.776,,21.413,,
11,72,,,1.51,72.51,5.65,,10.62,,
1,72,,0.2604,*,0.0301,,,,,
10,72,,0,45.18,73.13,4.79,,8.05,,
2,72,,0.5989,0.0149,0.127,,,,,
3,72,,2.144,1.038,0.848,,,,,
4,72,,2.685,1.499,1.876,,,,,
5,72,,10.679,13.167,12.7,,,0.157,,
6,72,,6.15,11.88,12.93,,,0.271,,
7,72,,8.72,32.61,35.31,,,0.43,,
8,72,,5.99,67.41,48.05,,,10.418,,
9,72,,,14.66,23.43,0.69,,4.03,,
11,73,,,,,12.131,0.89,,89.27,
1,73,,0.2551,,0.0414,,,,,
10,73,,.,15.513,26.62,3.33,,21.24,,
10,73,15.5,,,26.62,3.33,,21.24,,
2,73,,0.7021,0.0077,0.147,,,,,
3,73,,1.423,0.055,0.447,,,,,
5,73,,4.222,3.649,4.389,,,,,
6,73,,6.981,13.47,15.63,,,0.353,,
7,73,,6.348,8.39,13.73,,,6.027,,
8,73,,5.02,28.23,41.91,,,28.927,,
9,73,,,26.2,35.21,0.827,,53.71,,
11,74,,,2.587,33.141,1.397,0,,51.34,
1,74,,0.0937,*,0.0256,,,,,
10,74,,.,30.142,47.56,0.7322,,71.4,,
10,74,30.142,,,47.56,0.7322,,71.4,,
6,74,,2.859,12.592,8.7,,,0.236,,
7,74,,3.022,24.94,24.84,,,6.609,,
8,74,,4.089,24.53,24.64,,,13.292,,
9,74,,,30.32,42.69,0.454,,26.227,,
11,75,,,15.036,56.55,3.144,0,33.42,,
1,75,,0.1053,,0.0158,,,,,
10,75,,0,28.28,46.07,0.614,,9.228,,
4,75,,2.333,0.951,1.075,,,,,
5,75,,5.473,9.655,9.302,,,,,
6,75,,4.568,9.52,9.43,,,,,
7,75,,5.073,15.26,16.42,,,1.731,,
8,75,,2.522,53.85,55.15,,,25.127,,
9,75,,,31.54,35.04,0.144,,10.981,,
11,76,,,1.179,47.02,7.998,7.522,,84.54,
1,76,,0.1648,*,0.0223,,,,,
10,76,,,8.82,21.15,2.908,,15.692,,
2,76,,0.6155,,0.0816,,,,,
3,76,,1.615,0.174,0.449,,,,,
4,76,,2.037,1.278,1.455,,,,,
5,76,,2.865,4.889,5.838,,,0.475,,
6,76,,2.345,7.156,7.416,,,1.152,,
7,76,,2.305,13.4,14.97,,,5.559,,
8,76,,2.141,9.873,13.461,,,3.671,,
11,77,,,,20.66,3.865,,,26.29,
1,77,,0.2814,*,0.045,,,,,
10,77,,2.154,10.37,41.89,,,53.05,,
2,77,,0.5332,0.0406,0.1087,,,,,
3,77,,1.432,0.788,0.559,,,,,
5,77,,1.851,6.838,5.352,,,,,
6,77,,4.748,11.587,9.955,,,0.265,,
7,77,,4.454,21.55,18.18,,,4.057,,
8,77,,3.85,22.93,26.87,,,14.89,,
9,77,,,19.32,25.58,0.157,,20.002,,
11,78,,12.932,,45.78,3.837,0.333,,8.271,
1,78,,0.1981,*,0.0307,,,,,
10,78,,,29.11,36.82,0.282,,11.628,,
2,78,,1.0788,0.0208,0.2244,,,,,
3,78,,1.629,0.644,0.592,,,,,
5,78,,2.937,9.899,6.612,,,,,
6,78,,6.269,21.463,18.595,,,,,
7,78,,4.276,37.33,26.92,,,2.151,,
8,78,,7.75,30.07,37.51,0,,7.84,,
8,78,,,16.75,22.91,0,,3.997,,
11,79,,,0,32.67,2.02,0,83.47,,
1,79,,0.089,,0.0158,,,,,
10,79,,,17.1,30.29,0.415,,31.326,,
2,79,,,0.0079,0.0869,,,,,
3,79,,1.895,0.083,0.466,,,,,
5,79,,2.342,8.025,4.759,,,,,
6,79,,3.541,12.88,8.431,,,,,
7,79,,3.733,19.19,13.51,,,3.538,,
8,79,,4.41,16.26,27.29,,,8.062,,
11,80,,,0.185,60.05,8.547,0,,60.22,
10,80,,0,13.95,19.2,15.061,,0,,
6,80,,7.408,8.81,9.43,,0.086,,,
7,80,,11.78,25.97,24.37,,,0.77,,
8,80,,5.908,54.92,53.82,,,27.035,,
11,81,,,2.305,40.21,6.071,2.298,39.687,,
1,81,,0.3978,,0.0685,,,,,
10,81,,.,25.72,37.59,1.03,,43.47,,
2,81,,1.7003,0.1364,0.39,,,,,
3,81,,3.221,0.705,1.44,,,,,
4,81,,4.244,4.165,4.308,,,,,
5,81,,5.062,11.118,10.723,,,,,
6,81,,3.074,19.215,15.37,,,1.538,,
7,81,,4.848,20.06,22.27,,,9.001,,
8,81,,3.106,23.42,31.48,,,27.526,,
9,81,,,26.68,30.95,0.571,,37.655,,
11,82,,,1.394,29.512,1.461,1.779,,25.728,
1,82,,0.2106,,0.0397,,,,,
10,82,,,18.06,37.39,1.097,,21.364,,
2,82,,0.929,0.0121,0.1821,,,,,
3,82,,1.86,0.56,0.885,,,,,
5,82,,3.397,5.098,5.513,,,,,
6,82,,6.119,10.11,12.8,,0.785,,,
7,82,,3.461,12.86,15.28,,,2.712,,
8,82,,2.762,15.41,21.54,0,,11.5,,
9,82,,,15,16.61,0.451,,7.747,,
11,83,,,0.67,13.9,1.95,.,8.76,,
1,83,,0.1586,,0.0245,,,,,
10,83,,,5.48,17.3,2.74,,19.3,,
2,83,,0.5044,0.0068,0.0863,,,,,
3,83,,1.355,0.468,0.438,,,,,
4,83,,2.534,1.517,1.369,,,,,
5,83,,1.559,5.363,4.405,,,,,
6,83,,2.177,14.66,10.49,,3.747,,,
7,83,,2.721,15.64,18.12,,,8.791,,
8,83,,3.015,17.85,17.93,,,15.372,,
9,83,,,15.58,22.49,5.513,,19.212,,
11,84,,0,3.6,25.63,3.11,,0.09,1.82,
10,84,,0,27.69,49.88,0.991,,16.225,,
3,84,,0.458,*,0.099,,,,,
5,84,,3.005,4.934,3.93,,,,,
6,84,,3.445,8.56,6.52,,,,,
7,84,,4.009,28.11,25.29,,,3.82,,
8,84,,2.197,12.878,13.894,,,3.889,,
9,84,,,42.89,64.02,0.679,,9.686,,
1,85,,,,0.0083,,,,,
1,85,,0.0616,,,,,,,
10,85,,,9.75,15.61,,,28.426,,
2,85,,0.2917,*,0.0412,,,,,
3,85,,1.225,0.236,0.334,,,,,
5,85,,1.478,2.679,2.138,,,0.525,,
6,85,,,,12.23,,,,37.523,
7,85,,3.012,10.26,9.34,,,11.972,,
8,85,,2.874,7.494,11.917,,4.491,,,
9,85,,,14.72,13.92,.,,28.333,,
11,86,,,,,13.9,,,57.69,
1,86,,0.2545,,0.0363,,,,,
10,86,,,25.92,35.55,0.489,,79.66,,
2,86,,0.7705,0.0162,0.131,,,,,
3,86,,2.277,0.145,0.594,,,,,
5,86,,4.574,4.372,4.849,,,,,
6,86,,7.739,8.117,10.215,,,0.3232,,
7,86,,7.229,15.43,21.22,,,11.721,,
8,86,,6.56,36.25,39.7,,,45.28,,
11,87,,,0,9.645,2.836,0,,21.237,
10,87,,,6.47,9.2,0.604,,,19.329,
7,87,,1.99,7.55,7.64,,,5.668,,
8,87,,1.953,6.13,4.84,,,3.655,,
11,88,,,3,25.02,0.64,0.79,,31.37,
1,88,,0.3627,,0.0666,,,,,
10,88,,,14.84,24.67,,,55.63,,
2,88,,0.5306,0.051,NA,,,,,
3,88,,1.203,0.165,0.409,,,,,
4,88,,1.508,2.314,1.592,,,,,
5,88,,2.067,7.141,5.202,,,,,
6,88,,2.894,14.441,12.304,,,,,
7,88,,4.73,12.29,11.31,,,3.34,,
8,88,,,19.146,22.743,2.908,,16.961,,
9,88,,,27.14,30.59,0.413,,36.579,,
11,89,,0,0.6,15.23,5.69,,0.14,16.29,
1,89,,0.0976,,0.017,,,,,
2,89,,0.5062,0.012,0.0706,,,,,
3,89,,1.184,0.068,0.203,,,,,
4,89,,2.874,1.213,1.315,,,,,
5,89,,3.151,3.271,2.474,,,,,
6,89,,,12.804,11.757,6.73,,0.504,,
7,89,,6.968,10.62,8.85,,,3.017,,
8,89,,4.32,8.1,9.48,,,2.057,,
9,89,,,9.22,14.61,1.035,,16.652,,
11,90,,,6.51,23.9,1.69,,13.7,,
1,90,,0.0414,,0.0077,,,,,
10,90,,,18.41,14.28,0,,,3.137,
2,90,,0.2281,0.0287,,,,,,
3,90,,0.932,0.026,0.133,,,,,
5,90,,3.472,1.798,1.589,,,,,
6,90,,6.622,8.352,6.871,,,,,
7,90,,8.244,8.95,6.93,,,,,
8,90,,6.883,27.588,26.161,,,1.044,,
9,90,,,31.19,27.03,0.101,,10.881,,
11,91,,,,23.99,3.74,,,27.408,
1,91,,0.1257,,0.0174,,,,,
10,91,,.,10.1,22.42,1.964,,18.042,,
10,91,,,,,,,17.81,,
10,91,10.1,,,22.42,1.964,,18.042,,
2,91,,0.2648,,0.0433,,,,,
3,91,,0.793,0.003,0.183,,,,,
4,91,,1.04,0.196,0.376,,,,,
5,91,,2.186,1.517,1.908,,,0.001,,
7,91,,1.83,7.01,6.29,,,2.76,,
8,91,,2.359,12.32,12.978,,,6.941,,
9,91,,,8.11,7.33,0.095,,9.831,,
11,92,,,,,1.93,,,29.83,
1,92,,0.1774,,0.0292,,,,,
10,92,,,6.32,8.33,,,14.159,,
2,92,,0.4765,,0.0902,,,,,
3,92,,1.273,0.06,0.291,,,,,
5,92,,2.753,1.419,1.86,,,,,
6,92,,3.994,5.135,3.959,,,,,
7,92,,5.27,6.69,8.12,,,1.06,,
8,92,,6.677,14.491,12.173,,,8.585,,
9,92,,,25.49,28.31,0.241,,16.959,,
11,93,,,2.93,11.95,3.1,2.38,,12.78,
1,93,,0.1378,,0.0176,,,,,
10,93,,,7.87,12.35,0.614,,11.491,,
2,93,,0.482,0.0578,0.1467,,,,,
3,93,,1.08,0.072,0.301,,,,,
5,93,,2.369,1.779,2.782,,,,,
6,93,,2.924,8.125,7.255,,,1.071,,
7,93,,2.33,7.16,9.46,,,5.149,,
8,93,,2.079,5.69,7.16,,,3.934,,
9,93,,,13.61,1.114,12.802,,15.177,,
11,94,,,0.05,9.14,0.25,0,,52.86,
1,94,,0.3165,*,0.054,,,,,
10,94,,,3.75,11.59,2.01,,55.1,,
2,94,,1.2995,*,0.3005,,,,,
3,94,,1.794,0.271,0.806,,,,,
5,94,,2.578,2.461,3.105,,,0.758,,
6,94,,3.397,9.826,10.24,,,9.81,,
7,94,,1.999,11.85,12.39,,,34.678,,
8,94,,2.77,7.75,8.91,,,15.36,,
9,94,,,4.92,12.35,3.007,,53.74,,
11,95,,,1.731,30.78,4.324,0,,28.443,
6,95,,3.37,5.342,5.039,,,,,
7,95,,6.404,9.29,11.13,,,1.199,,
8,95,,6.76,3.24,5.02,,,0.831,,
11,96,,,,12.08,0.3,0.15,,25.19,
10,96,,,23.93,51.81,1.566,,,46.14,
3,96,,0.684,0.094,0.221,,,,,
5,96,,2.103,1.01,1.43,,,,,
6,96,,5.88,11.69,11.96,,,0.469,,
7,96,,5.158,15.12,10.31,,,1.237,,
8,96,,2.17,18.85,26.47,,,8.46,,
11,97,,,0.364,8.842,0.0209,0,,58.66,
10,97,,,1.78,3.29,0.329,,22.273,,
5,97,,2.459,1.884,2.072,,,,,
8,97,,2.55,3.56,3.79,,,4.645,,
9,97,,,14.72,12.65,0.616,,33.119,,
11,98,,,25.673,9.492,2.862,0,,2.82,
11,99,,,1.438,8.41,2.339,0.163,,9.903,
10,99,,,19.65,18.14,0,,16.403,,
8,99,,4.81,12.61,10.32,,,16.156,,
9,99,,,16.49,14.47,,,7.572,,
11,100,,0,0,10.07,2.208,,0.306,0.589,
1,100,,0.139,*,0.019,,,,,
10,100,,,6.18,6.63,0,,1.102,,
2,100,,1.857,0.347,0.703,0,,0,,
5,100,,2.883,1.426,1.596,,,,,
6,100,,3.085,4.608,3.655,,,,,
8,100,,4.49,17.37,12.99,,,4.285,,
11,101,,,2.77,66.58,6.38,0.348,60.02,,
10,101,,0,9.6,19.4,0.01,,0.99,,
5,101,,3.32,0.948,1.846,,,,,
8,101,,5.732,26.7,23.41,,,0.756,,
9,101,,,17.19,18.08,0,,1.15,,
11,102,,,3.87,30.01,1.98,0.02,,93.96,
1,102,,0.0716,*,0.0189,,,,,
10,102,,,25.17,30.5,1.503,,55.98,,
2,102,,0.4351,,0.0659,,,,,
3,102,,1.729,0.042,0.347,,,,,
4,102,,2.934,0.645,1.05,,,,,
5,102,,6.346,5.277,4.701,,,,,
6,102,,8.359,14.626,12.59,,,0.194,,
8,102,,8.106,14.786,14.569,,,3.456,,
9,102,,,34.57,37.68,0.859,,18.415,,
11,103,,,,1.905,*,*,,3.508,
1,103,,0.0861,*,0.0187,,,,,
11,104,,,.,4.108,1.697,0,,8.488,
11,105,,,8.951,51.16,3.209,0,,12.333,
1,105,,0.0853,*,0.0177,,,,,
10,105,,,6.772,10.08,0,,0.05411,,
10,105,6.772,,,10.08,*,,0.05411,,
2,105,,0.2968,,0.0835,,,,,
3,105,,0.567,*,0.151,,,,,
5,105,,1.632,0.039,0.734,,,,,
7,105,,4.585,2.09,4.46,,,,,
8,105,,3.72,3.68,5.75,0,,6.75,,
11,106,,,2.016,31.5,1.313,0,,12.714,
1,106,,0.1274,*,0.0278,,,,,
5,106,,3.504,1.491,1.965,,,,,
6,106,,4.172,7.356,1.37,,,,,
7,106,,4.837,6.91,7.17,,,0.104,,
8,106,,2.438,6.86,9.31,,,0.282,,
9,106,,,29.8,40.43,0.413,,3.125,,
11,107,,0,31.76,87.83,2.51,,0,13.57,
1,107,,0.1939,,0.0268,,,,,
10,107,,,11.23,18.85,0.126,,6.471,,
10,107,,,6.05,7.94,0.108,,0.762,,
2,107,,0.6839,0.0028,0.1074,,,,,
3,107,,0.96,0.073,0.234,,,,,
4,107,,3.103,1.41,1.681,,,,,
5,107,,3.51,1.33,2.162,,,,,
6,107,,3.77,2.55,3.65,,,,,
7,107,,3.045,3.18,3.53,,,,,
8,107,,4.619,8.625,13.606,,,0.401,,
11,108,,,0,24.33,2.093,0,,12.422,
1,108,,0.188,,0.0287,,,,,
10,108,,,12.15,27.77,0,,12.744,,
2,108,,0.4473,*,0.0895,,,,,
3,108,,1.625,0.278,0.52,,,,,
5,108,,2.605,4.958,4.149,,,,,
6,108,,4.26,7.83,7.78,,,0.251,,
7,108,,2.62,13.94,12.22,,,3.8,,
8,108,,2.49,18.56,16.08,,,2.657,,
9,108,,,17.52,19.03,0.873,,5.347,,
11,109,,,0.358,2.466,0.21,0,,7.952,
1,109,,0.1738,,0.0259,,,,,
10,109,,,6.91,6.62,0.007,,29.411,,
2,109,,0.3876,0.005,0.0806,,,,,
3,109,,0.62,*,0.16,,,,,
4,109,,1.159,0.225,0.538,,,,,
5,109,,0.818,0.575,0.384,,,,,
6,109,,2.462,2.19,2.07,,0.331,,,
7,109,,1.691,3.87,1.65,,,0.204,,
8,109,,2.29,4.04,2.5,,,1.687,,
9,109,,,6.96,3.73,,,8.728,,
11,110,,,1.397,4.103,0,0,,5.894,
10,110,,.,2.341,1.691,0.2371,,1.562,,
10,110,,,,,,,1.588,,
10,110,2.341,,,1.691,0.2371,,1.562,,
7,110,,1.857,,0.338,,,,,
8,110,,2.749,2.82,3.56,,,0.353,,
9,110,,,8.03,5.81,0,,3.953,,
1,111,,0.0813,,0.0124,,,,,
10,111,,,11.36,14.13,0.168,,,41,
2,111,,0.4993,0.0218,0.1144,,,,,
3,111,,0.518,*,0.107,,,,,
5,111,,2.396,1.798,2.102,,,,,
6,111,,4.121,2.579,3.809,,,4.121,,
7,111,,3.889,2.92,3.4,,,0.513,,
8,111,,5.029,6.06,5.79,,,2.365,,
11,112,,,9.439,42.84,7.677,,,4.925,
1,112,,0.076,,0.0202,,,,,
10,112,,,9.1,9.52,0.018,,11.243,,
6,112,,4.611,6.478,7.037,,,,,
8,112,,6.28,24.21,81.87,,,13.031,,
9,112,,,36.63,33.89,0.588,,19.939,,
9,112,,,2.78,2.19,0,,1.103,,
11,113,,,2.59,,,,,6.41,
1,113,,0.0482,,0.0115,,,,,
10,113,,,1.78,3.48,2.752,,6.248,,
2,113,,0.1227,*,0.041,,,,,
3,113,,0.273,*,0.055,,,,,
5,113,,1.152,0.162,0.575,,,,,
6,113,,1.51,5.65,5.36,,0.269,,,
7,113,,1.662,0.8,1.47,,,2.143,,
8,113,,1.905,3.75,4.65,,,5.083,,
11,114,,,3.72,14.63,2.686,0.69,,9.357,
10,114,,,6.37,4.91,0,,2.148,,
11,115,,,0.692,9.41,1.262,,,13.537,
1,115,,0.0966,*,0.0223,,,,,
10,115,,,2.99,2.34,0.025,,1.838,,
2,115,,0.3503,,0.0823,,,,,
3,115,,0.499,*,0.135,,,,,
5,115,,0.63,0.496,0.553,,0.154,,,
6,115,,2.129,3.576,3.79,,,0.321,,
7,115,,1.983,4.82,2.88,,,0.116,,
8,115,,1.273,0.599,0.602,,,0.584,,
11,116,,,3.97,10.82,0,1.48,,68.58,
1,116,,0.2361,*,0.0315,,,,,
10,116,,,51.01,76.16,0.144,,90.64,,
10,116,,,5.92,11.79,0.219,,52.98,,
2,116,,0.4558,,0.0717,,,,,
3,116,,1.752,0.201,0.508,,,,,
5,116,,2.781,1.455,2.517,,,,,
6,116,,4.702,8.876,8.336,,,0.686,,
7,116,,6.726,9.14,9.3,,,11.442,,
8,116,,4.97,7.33,9.81,,,21.88,,
9,116,,0,21,14.9,0,,65.66,,
11,117,,,2.47,19.5,2.11,0,39.08,,
1,117,,0.127,*,0.0245,,,,,
10,117,,,10.91,9.64,0,,5.126,,
2,117,,0.4296,,0.0815,,,,,
3,117,,0.956,0.043,0.226,,,,,
5,117,,2.126,3.602,3.044,,,0.332,,
7,117,,2.063,7.95,7.92,,,1.499,,
8,117,,1.465,12.997,15.575,,,7.683,,
11,118,,,66.19,103.24,1.278,0.339,,8.485,
1,118,,0.1659,*,0.03,,,,,
10,118,,.,18.09,11.06,0.259,,0.1721,,
10,118,18.09,,,11.06,0.0259,,0.1721,,
5,118,,3.455,0.969,1.627,,,,,
7,118,,6.61,10.49,7.03,,,,,
8,118,,7.12,17.05,12.63,,,1.829,,
9,118,,,22.46,20.81,0.395,,0.868,,
11,119,,,0,10.21,4.872,0.017,,15.448,
1,119,,0.1378,*,0.0279,,,,,
10,119,,,6.77,11.34,0.126,,24.028,,
2,119,,0.4528,0.0987,,,,,,
5,119,,1.903,0.259,0.96,,,,,
8,119,,3.76,8.758,11.808,,,11.874,,
11,120,,0,39.8,55.3,1.45,,0,5.79,
1,120,,0.0663,*,0.0148,,,,,
10,120,,,6.56,7.09,,,3.187,,
2,120,,0.3426,,0.0624,,,,,
5,120,,5.49,2.131,3.373,,,,,
6,120,,5.573,5.76,6.17,,,,,
7,120,,6.116,12.73,13.78,,,0.883,,
8,120,,6.09,21.83,17.41,,,0.705,,
11,121,,,59.49,86.93,1.7,,,21.37,
1,121,,0.1136,*,0.0253,,,,,
10,121,,,27.06,85.97,2.916,,42.96,,
2,121,,0.3681,*,0.743,,,,,
3,121,,1.773,0.481,0.649,,,,,
4,121,,2.759,4.677,3.566,,,,,
6,121,,4.38,13.17,14.64,,,0.282,,
7,121,,5.29,34.45,31.26,,,7.29,,
8,121,,3.457,22.85,31.06,,,3.647,,
9,121,,,20.27,22.92,0.1,,0.35,,
9,121,,,9.57,25.33,0.252,,0.595,,
11,122,,,0.59,16.84,1.618,0,,17.903,
1,122,,0.1095,*,0.0173,,,,,
10,122,,,21.37,38.53,6.288,,54.84,,
10,122,,,27.77,53.11,6.924,,62.09,,
4,122,,2.668,1.947,1.433,,,,,
5,122,,2.366,4.258,2.674,,,,,
6,122,,2.797,13.99,18.06,,,2.358,,
7,122,,4.435,22.45,52.48,,,8.56,,
8,122,,5.12,30.744,38.29,,,25.48,,
8,122,,7.465,15.06,24.71,,,4.326,,
9,122,,,10.04,11.82,2.095,,4.073,,
10,123,,,12,42.7,5.688,,29.546,,
4,123,,2.898,0.378,0.968,,,,,
5,123,,7.553,8.637,7.517,,,,,
6,123,,4.372,2.57,1.02,,,,,
11,124,,,12.99,76.43,5.16,.,25.16,,
10,124,,,7.32,27.93,5.336,,63.4,,
4,124,,3.62,1.383,1.516,,,,,
5,124,,7.487,7.357,5.589,,,,,
8,124,,2.517,29.81,17.79,,,3.097,,
11,125,,,60.79,110.69,1.77,1.419,,11.546,
10,125,,,33.64,34.8,0.03,,0.98,,
8,125,,6.542,18.97,12.19,,,0.596,,
11,126,,,25.96,52.42,0,0,,115.89,
1,126,,0.1209,*,0.0285,,,,,
10,126,,,17.84,24.32,0.65,,61.25,,
2,126,,0.5087,*,0.0761,,,,,
3,126,,2.306,0.24,0.588,,,,,
5,126,,7.452,12.451,9.017,,,,,
6,126,,7.209,9.89,11.28,,,0.421,,
7,126,,7.718,20.02,14.29,,,8.046,,
8,126,,10.326,16.653,19.163,,,10.942,,
11,127,,,27.69,68.32,4.67,0.19,,58.27,
1,127,,0.0928,,0.0226,,,,,
10,127,,,24.26,35.14,0.93,,11.86,,
2,127,,0.6855,0.005,0.1194,,,,,
3,127,,1.93,0.747,0.709,,,,,
4,127,,4.474,3.071,2.947,,,,,
5,127,,5.96,21.614,17.187,,,,,
6,127,,8.22,13.29,13.16,,,,,
7,127,,10.956,53.4,43.82,,,4.344,,
8,127,,3.671,25.64,30.23,,,7.237,,
1,128,,,,0.0435,,,,,
1,128,,0.2108,,,,,,,
10,128,,,31.82,37.87,0.461,,34.496,,
2,128,,0.9184,*,0.1494,,,,,
3,128,,1.853,0.205,0.515,,,,,
4,128,,4.656,2.028,2.321,,,,,
5,128,,5.847,6.431,3.989,,,,,
6,128,,8.568,29.74,28.12,,,1.984,,
7,128,,4.894,29.73,23.75,,,6.898,,
9,128,,,27.55,30.1,1.09,,15.51,,
11,129,,,2.19,74.41,4.42,0,31.708,,
10,129,,,14.1,20.25,0.121,,1.112,,
3,129,,1.595,0.0759,0.3839,,,,,
4,129,,2.541,0.141,0.829,,,,,
5,129,,3.273,9.611,3.102,,,,,
6,129,,7.61,15.34,14.75,,,,,
7,129,,4.489,35.12,18.05,,,0.916,,
8,129,,4.779,28.91,34.87,,,6.64,,
11,130,,,0,23.1,6.668,0,,4.406,
10,130,,,11.5,17.91,0.702,,12.67,,
8,130,,2.09,5.27,6.91,,,1.346,,
11,131,,,23.76,49.88,.,.,6.51,,
1,131,,0.1444,*,0.0297,,,,,
10,131,,,59.14,79.21,0,,34.173,,
3,131,,1.332,0.22,0.412,,,,,
4,131,,4.173,1.712,1.97,,,,,
6,131,,4.77,15.27,16.71,,,,,
7,131,,6.543,52.81,37.41,,,1.105,,
8,131,,5.453,38.97,44.57,,,1.853,,
9,131,,,42.34,61.19,0.242,,8.271,,
11,132,,,19.05,70.25,2.0267,0,,7.303,
10,132,,,25.09,27.39,0,,1.99,,
8,132,,7.752,28.52,20.71,,,1.844,,
11,133,,,8.829,49.28,20.318,0.595,,19.953,
1,133,,0.1294,*,0.0234,,,,,
10,133,,,8.62,18.36,2.27,,25.03,,
2,133,,0.5669,0.0196,0.1043,,,,,
3,133,,1.311,0.222,0.364,,,,,
4,133,,2.679,2.173,1.564,,,,,
5,133,,3.69,5.702,4.24,,,0.272,,
6,133,,4.21,8.61,11.79,,,2.02,,
7,133,,2.943,14.102,16.74,,,3.891,,
8,133,,2.01,17.35,25.28,,,10.553,,
9,133,,,13.93,20.12,0.908,,10.337,,
11,134,,,0,32.179,1.682,0.762,,21.106,
3,134,,0.812,0.37,0.342,,,,,
4,134,,2.26,1.181,1.032,,,,,
5,134,,5.844,12.628,7.514,,,,,
6,134,,6.28,15.67,18.52,,,1.076,,
7,134,,4.804,40.3,48.65,,,12.792,,
8,134,,1.839,38.45,45.68,,,41.29,,
9,134,,,12.16,13.32,0.1,,2.96,,
11,135,,,1.69,28.29,1.876,1.268,14.941,,
1,135,,*,*,0.0205,,,,,
1,135,,0.0821,,,,,,,
2,135,,0.0236,,0.0814,,,,,
3,135,,1.323,0.187,0.366,,,,,
4,135,,3.443,5.027,3.975,,,,,
4,135,,2.204,0.699,0.964,,,,,
5,135,,3.859,9.302,3.868,,,,,
6,135,,3.64,20.23,18.54,,,0.316,,
7,135,,3.719,16.39,18.07,,,0.885,,
8,135,,3.748,24.189,34.474,,,52.09,,
8,135,,2.341,26.18,41.87,,,6.399,,
9,135,,,24.83,36.55,0.303,,9.338,,
11,136,,,4.15,29.76,0.85,3.34,,75.3,
1,136,,0.3101,*,0.0511,,,,,
10,136,,,30.8,48.44,4.13,,81.25,,
2,136,,1.1196,0.0273,0.2401,,,,,
3,136,,2.485,0.619,1.075,,,,,
4,136,,5.276,5.122,5.432,,,,,
5,136,,6.359,13.64,12.45,,,,,
6,136,,6.817,17.05,15.23,,,1.492,,
7,136,,5.009,32.76,35.86,,,26.698,,
9,136,,,15.82,23.19,1.33,,66.99,,
11,137,,,4.19,52.92,1.07,.,2.53,,
1,137,,0.1838,*,0.0315,,,,,
10,137,,,36.37,74.37,1.183,,52.43,,
2,137,,1.1049,0.0597,0.2306,,,,,
3,137,,1.748,0.671,0.754,,,,,
4,137,,3.57,2.729,2.763,,,,,
5,137,,3.815,4.23,3.222,,,,,
6,137,,4.4,19.21,21.27,,,,,
7,137,,7.399,26.59,37.89,0,,1.318,,
8,137,,3.61,37.24,44.25,,,2.67,,
9,137,,,16.98,35.1,0.22,,20.408,,
11,138,,,0.29,33.36,0.86,,0.12,3.26,
1,138,,,,0.0274,,,,,
1,138,,0.1575,,,,,,,
10,138,,,42.88,75.11,1.348,,25.52,,
2,138,,0.1737,*,0.0317,,,,,
3,138,,0.834,0.034,0.175,,,,,
4,138,,2.948,1.559,1.386,,,,,
5,138,,5.887,6.348,3.792,,,,,
6,138,,14.197,9,9.52,,,6.112,,
7,138,,7.336,33.31,30.17,,,0.175,,
8,138,,3.599,20.02,27.26,,,2.455,,
9,138,,,46.65,61.05,0.701,,12.136,,
1,139,,,,0.0315,,,,,
1,139,,0.1882,,,,,,,
10,139,,,10.34,24.07,0.53,,87.47,,
2,139,,0.9732,0.0201,0.2034,,,,,
3,139,,2.355,0.395,0.843,,,,,
4,139,,3.674,2.784,2.992,,,,,
