HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
7,15,,1.795,16.64,16.05,,,2.724,,
8,15,,3.63,21.18,26.12,0,,9.487,,
11,16,,,3.01,20.66,6.61,12.05,,37.45,
1,16,,,,0.0211,,,,,
1,16,,0.1792,,,,,,,
10,16,,.,16.95,25.45,8.073,,60.033,,
10,16,,,,,,,58.49,,
10,16,16.95,,,25.45,8.073,,60.033,,
2,16,,0.5416,,0.1003,,,,,
3,16,,1.923,0.26,0.475,,,,,
4,16,,2.5508,1.0829,1.5192,,,,,
5,16,,2.581,7.096,5.785,,,0.814,,
6,16,,7.328,15.793,13.094,,,6.044,,
7,16,,4.28,15.22,16.05,,,10.537,,
8,16,,5.72,21.32,31.389,,,56.33,,
11,17,,,13.87,59.64,0.71,,14.28,,
1,17,,,,0.0156,,,,,
1,17,,0.0571,,,,,,,
10,17,,,29.57,44.24,0.311,,15.958,,
2,17,,0.1176,*,0.0055,,,,,
3,17,,1.131,0.036,0.373,,,,,
5,17,,2.665,0.858,1.757,,,,,
6,17,,2.405,5.269,6.9,,,1.567,,
6,17,,2.342,5.37,3.91,,,,,
7,17,,6.324,15.64,13.8,,,1.209,,
8,17,,6.71,24.88,24.76,,,4.16,,
9,17,,0,24.91,33.61,1.12,,7.34,,
9,17,,,7.5,8.47,1.01,,6.18,,
11,18,,,0,18.81,3.52,0,,13.6,
1,18,,0.0424,*,0.0102,,,,,
10,18,,0,11.9,22.22,0.256,,24.782,,
2,18,,0.8517,*,0.342,,,,,
3,18,,1.072,0.101,0.251,,,,,
4,18,,1.4747,0.278,0.4717,,,,,
5,18,,2.087,5.208,3.963,,,0.169,,
6,18,,5.073,8.13,7.23,,,0.029,,
7,18,,1.412,9.15,6.71,,,0.961,,
8,18,,1.69,14.59,14.83,,,4.95,,
9,18,,,11.56,13.47,0.339,,3.029,,
11,19,,,22.912,80.79,2.773,,,0.553,
5,19,,4.035,3.468,3.004,,,0.196,,
6,19,,8.329,10.5,7.35,,0.121,,,
7,19,,4.251,20.66,13.18,,,1.416,,
8,19,,4.863,22.38,37.45,,,7.589,,
11,20,,,2.05,50.13,3.001,,,21.738,
1,20,,0.1926,,0.0371,,,,,
10,20,,,35.52,59.5,,,21.279,,
3,20,,1.24,0.32,0.33,,,,,
4,20,,1.7331,1.8087,1.4681,,,,,
5,20,,2.882,5.839,4.775,,,,,
6,20,,4.823,23.656,17.173,,,0.15,,
7,20,,4.274,23.07,20.1,,1.16,,,
8,20,,1.77,46.61,42.44,0,,13.58,,
11,21,,,,17.78,3.671,,,34.569,
1,21,,,,0.023,,,,,
1,21,,0.168,,,,,,,
10,21,,,13.28,34.74,3.062,,23.766,,
2,21,,0.6664,,0.0954,,,,,
3,21,,1.649,0.373,0.425,,,,,
5,21,,3.159,7.227,5.453,,,0.645,,
6,21,,3.338,14.47,11.53,,2.936,,,
7,21,,1.529,15.74,14.77,,,20.391,,
8,21,,4.373,23.4,24.12,,,12.398,,
9,21,,,10.02,13.62,,,29.787,,
11,22,,,1.275,31.17,2.682,0.079,,41.26,
1,22,,0.12,,0.0206,,,,,
10,22,,,15.73,29.68,1.268,,,39.362,
2,22,,0.5897,0.0038,0.1169,,,,,
3,22,,1.36,0.17,0.375,,,,,
5,22,,2.548,8.958,8.665,,,0.612,,
6,22,,2.415,10.427,8.87,,,0.519,,
7,22,,2.16,22.23,21.36,,,2.54,,
8,22,,4.943,45.91,49.09,,,14.828,,
9,22,,,26.16,36.09,20.44,,0.907,,
11,23,,,4.176,32.68,3.687,0.538,,54.32,
1,23,,0.138,,0.0188,,,,,
10,23,,0,43.01,57.32,2.47,,88.14,,
2,23,,0.4955,0.0123,0.0825,,,,,
3,23,,1.476,0.124,0.352,,,,,
5,23,,5.298,3.306,3.644,,,,,
6,23,,6.977,12.452,12.092,,,0.0146,,
7,23,,5.395,32.37,21.03,,,4.101,,
8,23,,4.94,26.454,27.85,,,12.132,,
9,23,,,25.78,28.321,0.491,,20.212,,
11,24,,,6.177,35.84,7.707,0.277,,32.198,
1,24,,0.1846,,,,,,,
1,24,,,,0.0299,,,,,
10,24,,,16.58,33.91,1.087,,33.737,,
2,24,,0.4606,,0.0639,,,,,
3,24,,1.29,0.021,0.239,,,,,
5,24,,6.345,5.774,6.035,,,,,
6,24,,5.648,4.07,3.95,,,,,
7,24,,,23.51,15.95,,,2.415,,
8,24,,1.664,17.19,21.34,,,3.502,,
11,25,,,11.71,35.85,6.21,0.21,,19.51,
1,25,,0.2801,,0.0461,,,,,
10,25,,0,57.94,54.03,0.46,,11.37,,
2,25,,0.708,0.011,0.1276,,,,,
3,25,,1.462,0.349,0.388,,,,,
4,25,,2.8842,1.5307,1.6766,,,,,
5,25,,5.773,4.818,4.835,,,,,
6,25,,5.32,10.43,9.38,,0.169,,,
7,25,,5.889,26.28,17.59,,,0.512,,
8,25,,7,45.82,42.57,,,42.18,,
11,26,,,23.972,50.61,2.917,,,50.31,
10,26,,0,37.5,29.3,4.76,,3,,
8,26,,6.353,17.383,27.719,,,18.926,,
11,27,,,16.508,86.21,10.783,1.079,,44.63,
1,27,,0.114,,,,,,,
1,27,,,,0.0212,,,,,
10,27,,,19.36,19.02,0.144,,4.362,,
2,27,,0.6957,,0.1051,,,,,
3,27,,1.525,1.165,0.666,,,,,
5,27,,5.342,9.11,6.179,,,,,
6,27,,5.042,13.68,9.47,,,,,
7,27,,6.106,19.29,16.23,,,1.173,,
8,27,,9.22,43.01,25.67,,,4.004,,
11,28,,,10.921,77.77,15.489,0.541,,6.107,
1,28,,0.1572,,,,,,,
1,28,,,,0.0328,,,,,
10,28,,,32.65,41.13,1.061,,,16.916,
2,28,,0.389,,0.0774,,,,,
3,28,,1.447,0.141,0.428,,,,,
5,28,,4.609,4.228,5.496,,,,,
6,28,,9.427,18.94,16.11,,,0.699,,
7,28,,3.75,24.04,25.43,,,3.87,,
8,28,,2.715,19.342,15.795,,,4.852,,
11,29,,,63.28,137.57,6.136,0,,8.838,
10,29,,,33.76,38.79,0.578,,10.178,,
3,29,,0.782,0.403,0.23,,,,,
4,29,,1.5079,0.8994,0.7738,,,,,
5,29,,4.246,7.326,4.766,,,,,
6,29,,6.937,17.629,12.269,,,0.514,,
7,29,,8.41,25.03,16.5,,,4.648,,
8,29,,7.594,31.53,20.92,,,5.093,,
11,30,,,17.668,50.48,5.308,,0.13,3.714,
1,30,,0.2498,,,,,,,
1,30,,,,0.0467,,,,,
2,30,,0.5335,0.0702,0.0997,,,,,
3,30,,1.129,0.279,0.334,,,,,
5,30,,3.527,5.924,5.535,,,,,
6,30,,7.064,10.791,8.652,,,,,
6,30,,,,,,,,,
7,30,,4.301,14.72,12.26,,,0.62,,
8,30,,6.48,27.52,25.98,,,4.64,,
11,31,,,6.14,35.86,4.014,0.123,10.78,,
10,31,,.,21.766,24.043,0,,26.94,,
10,31,21.766,,,24.043,*,,26.94,,
6,31,,3.961,7.736,6.535,,,,,
7,31,,,24.3,,,,,,
7,31,,10.166,10.75,10.38,,,0.087,,
7,31,,5.076,9.24,12.9,,,2.598,,
8,31,,3.849,8.23,10.882,,,0.28,,
11,32,,,8.84,37.08,1.784,2.216,,44.97,
10,32,,.,34.328,43.95,0.0591,,9.248,,
10,32,34.328,,,43.95,0.0591,,9.248,,
3,32,,0.981,0.026,0.299,,,,,
4,32,,4.6444,1.8123,2.5588,,,,,
5,32,,3.558,2.588,3.551,,,,,
6,32,,7.218,7.07,6.11,,,,,
7,32,,4.845,39.77,32.52,,,5.778,,
8,32,,6.08,22.08,20.19,,,1.545,,
11,33,,,23.275,46.92,4.049,0,0.437,,
10,33,,,46.66,47.91,0.02,,6.439,,
11,34,,,1.279,36.38,2.884,0.102,,36.593,
1,34,,,,0.0155,,,,,
10,34,,,34.78,54.97,0.22,,57.34,,
2,34,,0.0815,,,,,,,
2,34,,0.469,,,,,,,
3,34,,0.763,0.088,0.255,,,,,
5,34,,4.793,6.544,5.344,,,,,
6,34,,4.122,8.25,5.76,,,0.077,,
7,34,,6.776,26.79,22.07,,,1.079,,
8,34,,5.671,26.896,26.922,,,7.313,,
8,34,,,,,,,7.09,,
9,34,,,25.44,20.45,0.406,,1.524,,
11,35,,,8.167,56.01,10.34,.,3.28,,
10,35,,.,36.68,50.49,0.1331,,16.48,,
10,35,36.68,,,50.49,0.1331,,16.48,,
11,36,,0,20.12,89.33,5.38,,3.81,,
8,36,,9.118,10.526,17.345,,,5.336,,
11,37,,,72.63,134.27,2.977,0,,11.238,
6,37,,9.493,11.02,9.59,,,,,
7,37,,4.23,32.35,19.82,,,0.876,,
8,37,,,,21.627,,,,,
8,37,,10.62,31.686,,,,6.24,,
9,37,,,53.79,41.36,0,,1.16,,
11,38,,,9.864,36.328,3.71,0,,25.782,
1,38,,0.2746,,,,,,,
1,38,,,,0.0447,,,,,
10,38,,,37.25,52.36,6.319,,47.03,,
2,38,,0.7489,0.0054,0.1674,,,,,
3,38,,2.003,0.108,0.526,,,,,
4,38,,4.909,3.053,3.211,,,,,
5,38,,4.448,6.244,7.075,,,0.191,,
6,38,,5.365,7.57,9.09,,0.175,,,
7,38,,5.498,29.31,29.95,,,3.285,,
8,38,,7.068,33.19,45.38,,,28.45,,
9,38,,,31.98,44.59,2.055,,36.315,,
11,39,,,6.216,47.43,9.805,0.501,,4.234,
1,39,,0.1314,,,,,,,
1,39,,,,0.0213,,,,,
2,39,,0.3148,,0.047,,,,,
3,39,,0.795,0.04,0.13,,,,,
5,39,,5.368,3.512,4.246,,,,,
6,39,,8.227,12.666,10.774,,,,,
7,39,,9.023,18.6,11.59,,,0.822,,
8,39,,13.602,33.77,24.08,0,,7.813,,
9,39,,,29.25,26.05,5.804,,0.214,,
11,40,,,3.718,25.103,,,,79.17,
1,40,,0.2796,,0.0387,,,,,
10,40,,,19.99,24.38,1.15,,74.06,,
2,40,,0.6549,,0.0968,,,,,
3,40,,2.943,0.36,0.755,,,,,
4,40,,4.637,1.9221,1.9901,,,,,
5,40,,5.373,14.423,11.423,,,,,
6,40,,9.335,10.68,12.65,,0.19,,,
7,40,,6.167,11.03,11.28,,,0.613,,
8,40,,9.98,33.23,37.27,,,37.828,,
11,41,,,8.72,70.04,12.63,,0.2,6.85,
10,41,,,34.3,48.6,0.322,,,59.99,
4,41,,8.77,7.61,8.1,,,,,
11,42,,,2.21,39.4,8.21,0.54,,48.58,
1,42,,,,0.0298,,,,,
1,42,,0.2591,,,,,,,
2,42,,0.5859,,0.0985,,,,,
3,42,,1.54,0.04,0.356,,,,,
4,42,,3.663,2.539,2.621,,,,,
5,42,,5.69,5.436,5.549,,,,,
6,42,,11.218,22.654,18.77,,,0.141,,
8,42,,6.413,32.83,32.72,,,5.362,,
11,43,,,9.639,42.56,,0.124,4.331,10.149,
1,43,,,,0.031,,,,,
1,43,,0.2137,,,,,,,
10,43,,0,15.64,31.67,0.2,,14.64,,
2,43,,0.913,0.01905,0.1626,,,,,
3,43,,2.105,0.135,0.519,,,,,
