site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,13,13,P1,,3,3.2,0.9,4,2.7,1,5,3.4,0.3,3.19461,4.07748,5.12665,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,13,,P2,,3,5.4,1.6,4,2.6,1.6,5,2.8,0.9,3.63311,4.08078,5.09985,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,13,,P3,,3,4.6,1.3,4,6,2.1,5,6.2,2.6,3.48253,4.83392,6.04513,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,14,14,P1,,3,3.1,0.8,4,3.2,1.1,5,3.2,1.1,3.15881,4.23118,5.23118,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,14,,P2,,3,3.8,0.9,4,4.3,1.5,5,4.4,1.4,3.29070,4.51495,5.49367,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,14,,P3,,3,2.9,1,4,3.1,1.7,5,3.4,0.9,3.13940,4.35806,5.23134,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,15,15,P1,,2,6,1.8,3,7.4,2.3,4,6.4,1.3,2.72715,3.92865,4.58974,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,15,,P2,,2,3.2,0.8,3,3.9,1.4,4,2.8,1.3,2.17807,3.43405,4.14771,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,15,,P3,,2,2.4,0.6,3,3.3,1.1,4,2.9,0.8,1.97055,3.25271,4.11525,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,16,16,P1,,2,5.6,0.5,3,2.5,0.4,3,7.4,0.3,2.33382,3.00000,3.33854,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,16,,P2,,2,9.3,2.4,3,7.4,2.3,4,7.8,1.5,2.96986,3.92865,4.69016,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,16,,P3,,3,3.2,1.1,4,3.5,0.8,4,11,2,3.23118,4.22798,4.86910,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,17,17,P1,,2,9,1.6,3,6.9,2,4,4.3,2.1,2.74162,3.81981,4.75672,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,17,,P2,,2,5.5,1.2,3,3.5,1.5,4,3.1,0.8,2.51790,3.39711,4.15881,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,17,,P3,,2,8,1.2,3,4.9,1.6,4,3.2,0.8,2.61311,3.60126,4.17807,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,18,18,P1,,3,3.1,0.3,3,9.5,0.4,4,3.4,0.2,3.09211,3.42146,4.10853,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,18,,P2,,2,5.5,1.3,3,5.3,0.3,4,3.9,0.8,2.54663,3.26166,4.28071,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,18,,P3,,2,8.8,2.3,3,5.9,0.2,4,2.6,0.3,2.93786,3.25371,4.01816,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,19,19,P1,,2,2.8,1.7,4,3.2,0.4,4,7.1,1.4,2.22712,4.11871,4.64289,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,19,,P2,,2,3.9,0.8,3,2.7,0.5,3,8.9,1.3,2.28071,3.04564,3.66007,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,19,,P3,,1,7.5,0.4,2,4,0.4,2,14.4,2.2,1.37480,2.20412,2.93196,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,20,20,P1,,3,2.6,0.7,3,8.5,2.4,4,3.2,0.5,3.02989,3.96772,4.13299,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,20,,P2,,2,8.7,2.4,3,8.2,2.3,4,7.6,2.3,2.96830,3.93441,4.93024,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,20,,P3,,3,4.5,1.3,4,4.1,1.1,5,4.6,1.4,3.47337,4.37600,5.51259,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,21,21,P1,,3,3.7,1.3,4,3,0.4,4,9,0.5,3.37481,4.09049,4.44317,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,21,,P2,,2,8,1.5,4,5.4,0.3,4,14.3,2.3,2.69484,4.26644,4.95437,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,21,,P3,,3,3.4,0.9,3,10.8,1.2,3,20.3,1.8,3.23134,3.66596,3.86441,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,22,22,P1,,3,5.5,1.5,4,4.8,2,5,4,1.4,3.60684,4.74512,5.44770,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,22,,P2,,3,4.2,1.1,4,3.2,0.5,4,11.1,0.9,3.38722,4.13299,4.59334,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,22,,P3,,3,5.4,1,4,3.4,1.1,5,3.5,0.9,3.45666,4.27248,5.24775,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,23,23,P1,,2,7.2,1.8,3,6.6,1.7,4,6.8,1.9,2.76303,3.71568,4.78477,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,23,,P2,,2,4.7,0.7,3,3.3,0.9,4,3.2,0.9,2.33151,3.21368,4.19461,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,23,,P3,,2,7.2,1.4,2,8.8,2.1,3,6.9,21,2.64594,2.87831,2.08784,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,24,24,P1,,2,4.8,1.4,3,4.7,2.3,4,6,1.6,2.52942,3.88333,4.66235,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,24,,P2,,2,6.9,2.4,3,5.7,2.4,4,6.1,1,2.96134,3.95281,4.49328,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,24,,P3,,2,4.2,1.3,3,5.5,1.3,4,4.9,1.3,2.44238,3.54663,4.50717,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,25,25,P1,,3,2.3,0.7,4,2.6,0.8,5,2.6,0.9,2.92991,4.03328,5.03697,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,25,,P2,,2,3.9,0.8,3,2.7,1.1,4,3.1,0.9,2.28071,3.08571,4.17393,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
