"","plot","HNO","DWTOTALLEAF","DWMSL","DWBL","TOTALSTEM","DWAP","DWGP","DWPOD","DWMP","WHOLE","Dlines","category","site","pdate","hdate","DAP","geno"
"920","195",8,37.524,6.834,30.69,43.24,NA,NA,11.737,NA,92.501,0,2,1,2016-03-24,2016-05-26,63,"RIJC139"
"921","195",9,23.83,NA,23.83,37.62,1.2,NA,28.01,NA,90.66,0,2,1,2016-03-24,2016-06-02,70,"RIJC139"
"922","195",10,24.1,NA,24.1,53.44,0.604,NA,38.214,NA,116.358,0,2,1,2016-03-24,2016-06-09,77,"RIJC139"
"923","196",1,0.2959,0.2959,NA,0.0487,NA,NA,NA,NA,0.3446,0,2,1,2016-03-24,2016-04-07,14,"TM6"
"924","196",2,1.026,0.992,0.034,0.1891,NA,NA,NA,NA,1.2151,0,2,1,2016-03-24,2016-04-14,21,"TM6"
"925","196",3,2.106,1.7,0.406,0.482,NA,NA,NA,NA,2.588,0,2,1,2016-03-24,2016-04-21,28,"TM6"
"926","196",4,4.741,3.196,1.545,1.903,NA,NA,NA,NA,6.644,0,2,1,2016-03-24,2016-04-28,35,"TM6"
"927","196",5,13.522,4.543,8.979,7.912,NA,NA,NA,NA,21.434,0,2,1,2016-03-24,2016-05-05,42,"TM6"
"928","196",6,22.23,6.51,15.72,18.6,NA,NA,0.302,NA,41.132,0,2,1,2016-03-24,2016-05-12,49,"TM6"
"929","196",7,33.532,7.522,26.01,22.39,NA,NA,5.844,NA,61.766,0,2,1,2016-03-24,2016-05-19,56,"TM6"
"930","196",8,47.432,6.512,40.92,53.82,NA,NA,53.22,NA,154.472,0,2,1,2016-03-24,2016-05-26,63,"TM6"
"931","196",9,22.21,NA,22.21,31.255,0.6194,NA,38.953,NA,93.0374,0,2,1,2016-03-24,2016-06-02,70,"TM6"
"932","196",10,25.88,NA,25.88,36.76,0.781,NA,72.6,NA,136.021,0,2,1,2016-03-24,2016-06-09,77,"TM6"
"933","196",11,7.26,NA,7.26,31.14,0,0.256,NA,65.39,104.046,0,2,1,2016-03-24,2016-07-14,112,"TM6"
"934","197",1,0.1767,0.1767,NA,0.0339,NA,NA,NA,NA,0.2106,0,2,1,2016-03-24,2016-04-07,14,"RIJC020"
"935","197",2,0.4929,0.4514,0.0415,0.0835,NA,NA,NA,NA,0.5764,0,2,1,2016-03-24,2016-04-14,21,"RIJC020"
"936","197",3,3.763,2.005,1.758,1.273,NA,NA,NA,NA,5.036,0,2,1,2016-03-24,2016-04-21,28,"RIJC020"
"937","197",4,7.494,2.335,5.159,3.51,NA,NA,NA,NA,11.004,0,2,1,2016-03-24,2016-04-28,35,"RIJC020"
"938","197",5,8.434,1.652,6.782,4.567,NA,NA,NA,NA,13.001,0,2,1,2016-03-24,2016-05-05,42,"RIJC020"
"939","197",6,14.015,4.815,9.2,9.21,NA,NA,0.776,NA,24.001,0,2,1,2016-03-24,2016-05-12,49,"RIJC020"
"940","197",7,30.499,4.089,26.41,25.29,NA,NA,9.773,NA,65.562,0,2,1,2016-03-24,2016-05-19,56,"RIJC020"
"941","197",9,24.82,NA,24.82,31.59,0.2,NA,43.06,NA,99.67,0,2,1,2016-03-24,2016-06-02,70,"RIJC020"
"942","197",10,29.98,NA,29.98,32.31,1.079,NA,10.198,NA,73.567,0,2,1,2016-03-24,2016-06-09,77,"RIJC020"
"943","197",11,5.25,NA,5.25,28.83,0.5,11.98,NA,39.61,86.17,0,2,1,2016-03-24,2016-06-16,84,"RIJC020"
"944","198",1,0.1904,0.1904,NA,0.0323,NA,NA,NA,NA,0.2227,0,2,1,2016-03-24,2016-04-07,14,"RIJC220"
"945","198",2,0.709,0.6092,0.0998,0.1703,NA,NA,NA,NA,0.8793,0,2,1,2016-03-24,2016-04-14,21,"RIJC220"
"946","198",3,3.06,1.66,1.4,0.82,NA,NA,NA,NA,3.88,0,2,1,2016-03-24,2016-04-21,28,"RIJC220"
"947","198",4,10.609,4.302,6.307,4.983,NA,NA,NA,NA,15.592,0,2,1,2016-03-24,2016-04-28,35,"RIJC220"
"948","198",5,20.593,9.492,11.101,2.921,NA,NA,NA,NA,23.514,0,2,1,2016-03-24,2016-05-05,42,"RIJC220"
"949","198",6,27.577,6.377,21.2,21.22,NA,NA,1.931,NA,50.728,0,2,1,2016-03-24,2016-05-12,49,"RIJC220"
"950","198",7,32.684,4.994,27.69,33.26,NA,NA,12.435,NA,78.379,0,2,1,2016-03-24,2016-05-19,56,"RIJC220"
"951","198",8,37.603,2.662,34.941,37.831,NA,NA,31.947,NA,107.381,0,2,1,2016-03-24,2016-05-26,63,"RIJC220"
"952","198",9,28.95,NA,28.95,30.46,0.346,NA,56.93,NA,116.686,0,2,1,2016-03-24,2016-06-02,70,"RIJC220"
"953","198",10,21.21,NA,21.21,30.76,0.048,NA,46.81,NA,98.828,0,2,1,2016-03-24,2016-06-09,77,"RIJC220"
"954","198",11,1.32,NA,1.32,31.68,1.914,6.58,NA,38.3,79.794,0,2,1,2016-03-24,2016-06-17,85,"RIJC220"
"955","199",1,0.1422,0.1422,NA,0.0279,NA,NA,NA,NA,0.1701,0,2,1,2016-03-24,2016-04-07,14,"RIJC335"
"956","199",6,9.371,0.619,8.752,7.941,NA,NA,2.013,NA,19.325,0,2,1,2016-03-24,2016-05-12,49,"RIJC335"
"957","199",7,15.063,3.943,11.12,9.62,NA,NA,1.775,NA,26.458,0,2,1,2016-03-24,2016-05-19,56,"RIJC335"
"958","199",8,20.149,3.855,16.294,20.619,NA,NA,2.032,NA,42.8,0,2,1,2016-03-24,2016-05-26,63,"RIJC335"
"959","199",10,5.43,NA,5.43,7.23,0.032,NA,7.01,NA,19.702,0,2,1,2016-03-24,2016-06-09,77,"RIJC335"
"960","199",11,10.97,NA,10.97,80.29,4.487,0.362,NA,35.589,131.698,0,2,1,2016-03-24,2016-07-13,111,"RIJC335"
"961","2",1,0.1773,0.1773,NA,0.0278,NA,NA,NA,NA,0.2051,0,1,1,2016-03-23,2016-04-05,13,"RIJC223"
"962","2",2,0.3485,0.3475,0.001,0.0645,NA,NA,NA,NA,0.413,0,1,1,2016-03-23,2016-04-12,20,"RIJC223"
"963","2",3,1.727,1.242,0.485,0.355,NA,NA,NA,NA,2.082,0,1,1,2016-03-23,2016-04-19,27,"RIJC223"
"964","2",4,4.4601,3.0532,1.4069,1.4199,NA,NA,NA,NA,5.88,0,1,1,2016-03-23,2016-04-26,34,"RIJC223"
"965","2",5,7.632,2.451,5.181,3.958,NA,NA,NA,NA,11.59,0,1,1,2016-03-23,2016-05-03,41,"RIJC223"
"966","2",6,19.01,5.711,13.299,12.394,NA,NA,0.066,NA,31.47,0,1,1,2016-03-23,2016-05-10,48,"RIJC223"
"967","2",7,19.43,2.75,16.68,15.94,NA,NA,1.45,NA,36.82,0,1,1,2016-03-23,2016-05-17,55,"RIJC223"
"968","2",8,23.817,3.722,20.095,25.722,NA,NA,3.945,NA,53.484,0,1,1,2016-03-23,2016-05-24,62,"RIJC223"
"969","2",10,12.19,NA,12.19,20.28,0.709,NA,17.176,NA,50.355,0,1,1,2016-03-23,2016-06-07,76,"RIJC223"
"970","2",11,0,NA,NA,31.541,2.204,0,NA,40.66,74.405,0,1,1,2016-03-23,2016-06-30,99,"RIJC223"
"971","20",1,0.1926,0.1926,NA,0.0371,NA,NA,NA,NA,0.2297,0,1,1,2016-03-23,2016-04-05,13,"RIJC059"
"972","20",3,1.56,1.24,0.32,0.33,NA,NA,NA,NA,1.89,0,1,1,2016-03-23,2016-04-19,27,"RIJC059"
"973","20",4,3.5418,1.7331,1.8087,1.4681,NA,NA,NA,NA,5.0099,0,1,1,2016-03-23,2016-04-26,34,"RIJC059"
"974","20",5,8.721,2.882,5.839,4.775,NA,NA,NA,NA,13.496,0,1,1,2016-03-23,2016-05-03,41,"RIJC059"
"975","20",6,28.479,4.823,23.656,17.173,NA,NA,0.15,NA,45.802,0,1,1,2016-03-23,2016-05-10,48,"RIJC059"
"976","20",7,27.344,4.274,23.07,20.1,NA,1.16,NA,NA,48.604,0,1,1,2016-03-23,2016-05-17,55,"RIJC059"
"977","20",8,48.38,1.77,46.61,42.44,0,NA,13.58,NA,104.4,0,1,1,2016-03-23,2016-05-24,62,"RIJC059"
"978","20",10,35.52,NA,35.52,59.5,NA,NA,21.279,NA,116.299,0,1,1,2016-03-23,2016-06-07,76,"RIJC059"
"979","20",11,2.05,NA,2.05,50.13,3.001,NA,NA,21.738,76.919,0,1,1,2016-03-23,2016-07-07,106,"RIJC059"
"980","200",1,0.1852,0.1852,NA,0.0307,NA,NA,NA,NA,0.2159,0,2,1,2016-03-24,2016-04-07,14,"RIJC243"
"981","200",2,0.9691,0.9294,0.0397,0.1162,NA,NA,NA,NA,1.0853,0,2,1,2016-03-24,2016-04-14,21,"RIJC243"
"982","200",3,1.353,1.218,0.135,0.281,NA,NA,NA,NA,1.634,0,2,1,2016-03-24,2016-04-21,28,"RIJC243"
"983","200",4,8.244,3.62,4.624,3.143,NA,NA,NA,NA,11.387,0,2,1,2016-03-24,2016-04-28,35,"RIJC243"
"984","200",5,11.74,4.542,7.198,7.092,NA,NA,NA,NA,18.832,0,2,1,2016-03-24,2016-05-05,42,"RIJC243"
"985","200",6,16.65,6.01,10.64,10.61,NA,NA,NA,NA,27.26,0,2,1,2016-03-24,2016-05-12,49,"RIJC243"
"986","200",7,22.53,6.76,15.77,15.7,NA,NA,3.271,NA,41.501,0,2,1,2016-03-24,2016-05-19,56,"RIJC243"
"987","200",8,18.678,3.118,15.56,14.09,NA,NA,1.086,NA,33.854,0,2,1,2016-03-24,2016-05-26,63,"RIJC243"
"988","200",9,17.54,NA,17.54,21.92,0.97,NA,57.02,NA,97.45,0,2,1,2016-03-24,2016-06-02,70,"RIJC243"
"989","200",10,19.56,NA,19.56,29.22,0.601,NA,6.995,NA,56.376,0,2,1,2016-03-24,2016-06-09,77,"RIJC243"
"990","200",11,8.08,NA,8.08,27.89,5.32,1.16,8.4,NA,50.85,0,2,1,2016-03-24,2016-07-13,111,"RIJC243"
"991","201",7,10.034,2.161,7.873,7.124,NA,NA,4.423,NA,21.581,0,2,1,2016-03-24,2016-05-19,56,"RIJC015"
"992","201",8,10.671,1.751,8.92,7.8,NA,NA,3.575,NA,22.046,0,2,1,2016-03-24,2016-05-26,63,"RIJC015"
"993","201",9,6.89,0,6.89,6.42,0.04,NA,4.3,NA,17.65,0,2,1,2016-03-24,2016-06-02,70,"RIJC015"
"994","201",10,6.27,NA,6.27,9.94,0.596,NA,11.835,NA,28.641,0,2,1,2016-03-24,2016-06-09,77,"RIJC015"
"995","202",1,0.3371,0.3371,NA,0.0457,NA,NA,NA,NA,0.3828,0,2,1,2016-03-24,2016-04-07,14,"RIJC223"
"996","202",2,0.5339,0.5339,NA,0.097,NA,NA,NA,NA,0.6309,0,2,1,2016-03-24,2016-04-14,21,"RIJC223"
"997","202",3,3.525,2.694,0.831,0.841,NA,NA,NA,NA,4.366,0,2,1,2016-03-24,2016-04-21,28,"RIJC223"
