"","RIL","DIPI.x","DIPI.y"
"1","CAL",0.23221450725,0.311476638454545
"2","JAM",0.2910273155,0.260362748416667
"3","RIJC001",0.2701551115,0.3830620622
"4","RIJC002",0.334735376666667,0.332520322833333
"5","RIJC003",0.229782835,0.166780537833333
"6","RIJC004",0.264602951333333,0.2276260772
"7","RIJC005",0.249970073,0.279417170666667
"8","RIJC006",NA,NA
"9","RIJC007",NA,NA
"10","RIJC008",NA,NA
"11","RIJC009",NA,NA
"12","RIJC011",NA,NA
"13","RIJC012",NA,NA
"14","RIJC013",NA,NA
"15","RIJC014",NA,NA
"16","RIJC015",0.225178232333333,0.286202762
"17","RIJC016",0.340414982833333,0.247994504
"18","RIJC017",0.303506265833333,0.280965562833333
"19","RIJC018",0.248364067666667,0.21185858
"20","RIJC019",0.252681811666667,0.212872782833333
"21","RIJC020",0.366587611166667,0.340109638833333
"22","RIJC021",0.231704640833333,0.258260652
"23","RIJC022",NA,NA
"24","RIJC024",NA,NA
"25","RIJC025",0.2797341635,0.3446490945
"26","RIJC026",NA,NA
"27","RIJC027",0.368692741166667,0.349916622333333
"28","RIJC029",NA,NA
"29","RIJC030",0.305232403666667,0.287823548666667
"30","RIJC031",NA,NA
"31","RIJC032",NA,NA
"32","RIJC045",0.496276733166667,0.237351306166667
"33","RIJC046",0.306685859333333,0.325196530666667
"34","RIJC047",0.313795977666667,0.352066241166667
"35","RIJC048",0.2724811605,0.396591905833333
"36","RIJC049",0.244822029833333,0.248805334333333
"37","RIJC059",0.28678112,0.357968688166667
"38","RIJC061",NA,NA
"39","RIJC062",NA,NA
"40","RIJC064",NA,NA
"41","RIJC065",0.366431779166667,0.346881904666667
"42","RIJC066",0.276716847833333,0.440449344
"43","RIJC067",NA,NA
"44","RIJC069",0.368053276,0.365965090333333
"45","RIJC070",0.268078885333333,0.240287919166667
"46","RIJC071",0.322096317,0.3139305245
"47","RIJC072",NA,NA
"48","RIJC073",0.3793081265,0.344497891333333
"49","RIJC074",0.307046138666667,0.2844173932
"50","RIJC075",NA,NA
"51","RIJC076",0.247925671166667,0.2917883585
"52","RIJC078",0.152341107666667,0.248358107833333
"53","RIJC079",0.3299773195,0.230025126666667
"54","RIJC080",0.195181304333333,0.3683423165
"55","RIJC081",0.173754955666667,0.316320959333333
"56","RIJC082",0.338587312333333,0.443864214833333
"57","RIJC129",NA,NA
"58","RIJC130",NA,NA
"59","RIJC131",NA,NA
"60","RIJC133",NA,NA
"61","RIJC135",NA,NA
"62","RIJC136",0.273226629666667,0.2173201905
"63","RIJC137",NA,NA
"64","RIJC138",0.287985597166667,0.296712410666667
"65","RIJC139",0.229350398666667,0.338844817
"66","RIJC140",0.230152645,0.445937852833333
"67","RIJC141",0.2463439565,0.360855849666667
"68","RIJC142",0.301905143333333,0.274946576
"69","RIJC144",0.249963978166667,0.2858350675
"70","RIJC145",0.2855196185,0.330476767
"71","RIJC146",0.266000627666667,0.248077340333333
"72","RIJC147",0.252982718666667,0.346851385333333
"73","RIJC148",NA,NA
"74","RIJC149",NA,NA
"75","RIJC151",NA,NA
