"","slope","inter","sd","geno","site","r2"
"1",0.238385960175824,-1.91417212302747,0.656834823285599,"AC compass",1,0.998870425629975
"2",0.292105174550547,-1.76042243897405,1.31782770045001,"AC compass",2,0.999009957424299
"3",0.225787656432234,-1.7488054787967,0.62841900739174,"Avalanche",1,0.978953161203348
"4",0.40413812992623,-3.57608898908744,1.82248905506147,"Avalanche",2,0.999858119313514
"5",0.232214507194444,-1.20129991719444,0.697032765712602,"CAL",1,0.998883451494458
"6",0.319493965231619,-2.27885363184277,1.44067888010693,"CAL",2,0.999998894468945
"7",0.278790391258242,-2.05405265102472,0.771843233351505,"CDCWM2",1,0.989367287639311
"8",0.326675143465847,-1.92235731408061,1.47335742612031,"CDCWM2",2,0.999596043527184
"9",0.330272186263736,-3.31245007662454,0.916114535091643,"Centa Pupil",1,0.985608865813072
"10",0.224906205693989,-0.699566716868849,1.03931123835953,"Centa Pupil",2,0.952182534231239
"11",0.319867033697802,-2.40285615751007,0.882576951084306,"Envoy",1,0.996079378602562
"12",0.250355562974043,0.360005143558753,1.15721801890766,"Envoy",2,0.951683845816383
"13",0.279834747424908,-2.50975091644139,0.775397716481721,"Expresso",1,0.987675751853531
"14",0.239493558103825,-1.24155795690164,1.08032450554744,"Expresso",2,0.999281386097831
"15",0.433881378732241,-5.45950648588525,2.02752651692464,"Expressso",2,0.931145433405237
"16",0.289051533677162,-2.96083448142884,0.870162648479028,"JAM",1,0.912638846780888
"17",0.249714883785705,-1.75314398168846,1.12625565890035,"JAM",2,0.999593595548702
"18",0.220239095364469,-1.69441913334341,0.622897669180067,"Lightning",1,0.948015774257117
"19",0.258015341715847,-1.25698330849727,1.16537400319816,"Lightning",2,0.99671039794291
"20",0.231795486494506,-2.13325092448352,0.638323710947759,"Nautica",1,0.999972698232454
"21",0.200675738087432,-1.73758428910109,0.90642369477194,"Nautica",2,0.996634274369464
"22",0.234370266261905,-2.03044111303571,0.650623896662748,"Navigator",1,0.984022779885477
"23",0.325853210144809,-2.55665268953825,1.47029335495768,"Navigator",2,0.998721959443504
"24",0.206710660946887,-1.84848256559066,0.570452587007737,"OACRex",1,0.995741916590942
"25",0.289089101088798,-2.60144966882377,1.31017799450555,"OACRex",2,0.989945796819207
"26",0.263651330467033,-2.16402523231777,0.728334196222913,"Portage",1,0.993707753736915
"27",0.317927221118853,-2.14621121147951,1.43452994161507,"Portage",2,0.998722361316109
"28",0.2394310315,-2.10600166758333,0.659846909108933,"Pv230",1,0.998469138646903
"29",0.181182243107923,1.3296191868347,0.824968114187738,"Pv230",2,0.980766263508589
"30",0.308224435159341,-2.51132832772802,0.852647715154091,"Pv239",1,0.990957460906588
"31",0.477878968823771,-4.13560080816258,2.16089418678994,"Pv239",2,0.994437318340961
"32",0.273385628620879,-2.86952810759615,0.755375264186275,"RIJC001",1,0.993312703065284
"33",0.369674743914492,-4.448068851897,1.51492881413504,"RIJC001",2,0.992990438552835
"34",0.332078940100733,-4.28021943378846,0.914941940325635,"RIJC002",1,0.998977583702613
"35",0.332520322890711,-3.50873910735793,1.50307221656848,"RIJC002",2,0.995142497162184
"36",0.229782834888889,-1.15454246688889,0.696560221195824,"RIJC003",1,0.979400535152429
"37",0.166780537808743,0.92750066408197,1.04982727260716,"RIJC003",2,0.513172787619783
"38",0.269959612415751,-2.78750094299359,0.743449019928626,"RIJC004",1,0.999897198606595
"39",0.227626077152459,-1.3611259828082,1.0267443324639,"RIJC004",2,0.999373846082396
"40",0.252680743540293,-2.30757903586538,0.699727855165227,"RIJC005",1,0.98888573669559
"41",0.279417170726776,-2.02686538397814,1.26040506143358,"RIJC005",2,0.999296772962428
"42",0.234125545225275,-1.93766624510623,0.645817701160691,"RIJC015",1,0.996638961562679
"43",0.286202761943989,-2.29582573395219,1.29103665472121,"RIJC015",2,0.999261317520764
"44",0.340414982638889,-4.00979285816666,1.02306756039892,"RIJC016",1,0.996440139351545
"45",0.271187063853279,-2.3458027686276,1.23030120266317,"RIJC016",2,0.987924193747584
"46",0.305915566375458,-3.57499778589927,0.849869985476449,"RIJC017",1,0.982558270780153
"47",0.280965562714481,-2.58396142868716,1.30860117050175,"RIJC017",2,0.937346488738804
"48",0.248364067583333,-2.05264017355555,0.745829418954368,"RIJC018",1,0.998024074045855
"49",0.211858579882514,-0.617032553497267,0.955764550202563,"RIJC018",2,0.99907676141842
"50",0.252681811444445,-3.22686713855557,0.763196104352268,"RIJC019",1,0.986547914676842
"51",0.212872782808743,-2.15247818875137,0.95991996535242,"RIJC019",2,0.999951200507398
"52",0.363685862542125,-3.0665180212326,1.0017301093495,"RIJC020",1,0.999566124108811
"53",0.340109638878415,-1.6979407002336,1.53527088431195,"RIJC020",2,0.997875668302094
