"","site","geno","DAP","PI"
"664",2,"RIJC140",28,6.97163891483333
"665",1,"RIJC141",25,3.83169562116667
"666",2,"RIJC141",28,6.720967768
"667",1,"RIJC142",25,4.31432531216667
"668",2,"RIJC142",28,5.85072311216667
"669",1,"RIJC144",25.5,4.03184187016667
"670",2,"RIJC144",28,5.41319840783333
"671",1,"RIJC145",25.5,4.57147538133333
"672",2,"RIJC145",28,6.2739207265
"673",1,"RIJC146",25,4.08405386083333
"674",2,"RIJC146",28,5.47191821066667
"675",1,"RIJC147",25.5,4.03716953833333
"676",2,"RIJC147",28,6.34353428216667
"677",1,"RIJC203",25.5,4.2309816885
"678",2,"RIJC203",28,5.74021950816667
"679",1,"RIJC205",25,5.15918082916667
"680",2,"RIJC205",28,5.8183617028
"681",1,"RIJC206",25.5,4.49151409683333
"682",2,"RIJC206",28,6.6296580245
"683",1,"RIJC208",25.5,4.40643892966667
"684",2,"RIJC208",28,5.78906043266667
"685",1,"RIJC212",25,5.169996296
"686",2,"RIJC212",28,6.37120526483333
"687",1,"RIJC214",25,4.6765097095
"688",2,"RIJC214",28,5.693483166
"689",1,"RIJC217",25.5,4.16867272733333
"690",2,"RIJC217",28,6.30349942283333
"691",1,"RIJC220",25.5,6.108154731
"692",2,"RIJC220",28,8.57924010816667
"693",1,"RIJC223",25.5,4.61132164583333
"694",2,"RIJC223",28,5.8460730675
"695",1,"RIJC224",25.5,5.699414614
"696",2,"RIJC224",28,5.2475264185
"697",1,"RIJC225",25,4.98724602933333
"698",2,"RIJC225",28,5.79402176216667
"699",1,"RIJC230",25.5,4.35593324733333
"700",2,"RIJC230",28,5.54840222583333
"701",1,"RIJC232",25.5,3.9942535745
"702",2,"RIJC232",28,5.56694841116667
"703",1,"RIJC233",25,4.33237884316667
"704",2,"RIJC233",28,6.66172831016667
"705",1,"RIJC234",25,3.68936886416667
"706",2,"RIJC234",28,5.67129072083333
"707",1,"RIJC235",25.5,3.98920104233333
"708",2,"RIJC235",28,4.3373439305
"709",1,"RIJC236",25,4.436624059
"710",2,"RIJC236",28,4.5790432875
"711",1,"RIJC237",25.5,3.665348618
"712",2,"RIJC237",28,5.90629795033333
"713",1,"RIJC238",25.5,3.8780520605
"714",2,"RIJC238",28,6.19639764383333
"715",1,"RIJC240",25,4.00263384516667
"716",2,"RIJC240",28,5.64872985733333
"717",1,"RIJC241",25.5,3.70164707683333
"718",2,"RIJC241",28,5.1362369915
"720",2,"RIJC242",28,5.54432130375
"721",1,"RIJC243",25.5,5.098220365
"722",2,"RIJC243",28,6.18203150333333
"723",1,"RIJC244",25.5,4.3299868955
"724",2,"RIJC244",28,5.63649688483333
"725",1,"RIJC247",25.5,3.69720024033333
"726",2,"RIJC247",28,4.9240916145
"727",1,"RIJC248",25,4.922071955
"728",2,"RIJC248",28,6.51360861216667
"729",1,"RIJC250",25.5,4.02176848366667
"730",2,"RIJC250",28,5.42521140633333
"731",1,"RIJC251",25.5,3.35313719633333
"732",2,"RIJC251",28,5.452818011
"733",1,"RIJC254",25,3.48615433766667
"734",2,"RIJC254",28,6.07522804233333
"735",1,"RIJC255",25.5,4.55672722166667
"736",2,"RIJC255",28,5.2689334026
"737",1,"RIJC260",25,4.41584426
"738",2,"RIJC260",28,5.4964208375
"739",1,"RIJC261",25.5,3.81685508133333
"740",2,"RIJC261",28,5.6046919065
"741",1,"RIJC262",25.5,4.47771688816667
"742",2,"RIJC262",28,4.68706651983333
"743",1,"RIJC264",25.5,5.09383892783333
"744",2,"RIJC264",28,8.06055540566667
"745",1,"RIJC302",25.5,4.10785546566667
"746",2,"RIJC302",28,5.85251199366667
"747",1,"RIJC313",25,4.416559712
"748",2,"RIJC313",28,6.29030980316667
"749",1,"RIJC314",25,3.819285254
"750",2,"RIJC314",28,7.34711595283333
"751",1,"RIJC316",25.5,5.8512540215
"752",2,"RIJC316",28,6.9213660165
"753",1,"RIJC319",25,4.92356889116667
"754",2,"RIJC319",28,8.1482081305
"755",1,"RIJC324",25.5,4.03816079416667
"756",2,"RIJC324",28,5.25797135333333
"757",1,"RIJC326",25,4.15983185133333
"758",2,"RIJC326",28,6.3900983395
"759",1,"RIJC327",25.5,3.99098410533333
"760",2,"RIJC327",28,5.40137331766667
"761",1,"RIJC330",25.5,5.10805679633333
"762",2,"RIJC330",28,6.82617361466667
"763",1,"RIJC331",25.5,4.8191159595
"764",2,"RIJC331",28,6.42996225533333
"765",1,"RIJC334",25.5,4.87678615483333
"766",2,"RIJC334",28,6.60109843466667
"767",1,"RIJC335",25.5,3.42652795883333
"768",2,"RIJC335",28,5.56144471333333
"769",1,"RIJC337",25.5,4.39897474283333
"770",2,"RIJC337",28,5.65650530483333
"771",1,"RIJC344",25.5,4.459148008
"772",2,"RIJC344",28,5.84353927866667
"773",1,"RIJC347",25,4.94738395183333
"774",2,"RIJC347",28,6.37302973733333
"775",1,"RIJC348",25,3.992041133
"776",2,"RIJC348",28,4.791470329
"777",1,"RIJC352",25,3.28169651916667
"778",2,"RIJC352",28,7.08169908583333
"779",1,"RIJC355",25.5,3.53474521383333
"780",2,"RIJC355",28,4.14713877216667
"781",1,"RIJC361",25.5,4.02010924366667
"782",2,"RIJC361",28,4.59439391333333
"783",1,"RIJC363",25.5,4.93196150016667
"784",2,"RIJC363",28,6.39382044816667
"786",2,"RIJC364",28,4.140124948
"787",1,"RIJC367",25.5,4.31012991216667
"788",2,"RIJC367",28,5.57174931916667
"789",1,"RIJC368",25,4.471306802
"790",2,"RIJC368",28,4.47369196966667
"792",2,"RIJC370",28,4.626685133
"793",1,"RIJC372",25,4.1684410115
"794",2,"RIJC372",28,5.126253568
"795",1,"RIJC373",25,4.60303543566667
"796",2,"RIJC373",28,6.30979408333333
"797",1,"RIJC374",25,3.84407668166667
"798",2,"RIJC374",28,6.0815329245
"801",1,"Tepary22",21,4.26537307833333
"802",2,"Tepary22",28,9.831995892
"803",1,"Tepary32",21,4.1508631765
"804",2,"Tepary32",28,8.33823085466667
"805",1,"TM1",25,4.7206955725
"806",2,"TM1",28,6.66997981066667
"807",1,"TM10",25.5,5.54484659166667
"808",2,"TM10",28,6.448267807
"809",1,"TM2",25.5,5.37938964533333
"810",2,"TM2",28,6.84517508616667
"811",1,"TM3",25,5.03499907966667
"812",2,"TM3",28,5.8798151075
"813",1,"TM4",25,5.35146499333333
"814",2,"TM4",28,7.84985803266667
"815",1,"TM5",25.5,4.74113415083333
"816",2,"TM5",28,6.63686305766667
"817",1,"TM6",25.5,4.82416886433333
"818",2,"TM6",28,6.052021426
"819",1,"TM7",25,4.18346644133333
"820",2,"TM7",28,7.23648350116667
"821",1,"TM8",25.5,3.79795216883333
"822",2,"TM8",28,6.87858604033333
"823",1,"TM9",25,5.27766180966667
"824",2,"TM9",28,5.944506664
"825",1,"VAX1",21,2.70337368316667
"826",2,"VAX1",28,5.88181976883333
"827",1,"Vista",21,2.98779434316667
"828",2,"Vista",28,6.60481313983333
