"","site","geno","DAP","PI"
"84",2,"RIJC069",19,3.7556594045
"85",1,"RIJC070",19,2.4995087045
"86",2,"RIJC070",19,2.86530596266667
"87",1,"RIJC071",19,2.44702216
"88",2,"RIJC071",19,2.853113786
"89",1,"RIJC073",19,3.22255776866667
"90",2,"RIJC073",19,3.8692909185
"91",1,"RIJC074",19.5,3.01892377083333
"92",2,"RIJC074",19,2.85574918116667
"93",1,"RIJC076",19.5,2.22234147
"94",2,"RIJC076",19,2.90395596383333
"95",1,"RIJC078",19,2.761201635
"96",2,"RIJC078",19,3.87898886766667
"97",1,"RIJC079",19.5,2.62270718583333
"98",2,"RIJC079",19,2.905964419
"99",1,"RIJC080",19,2.67989800783333
"100",2,"RIJC080",19,3.46764559933333
"101",1,"RIJC081",20,2.35501649033333
"102",2,"RIJC081",19,3.1550874545
"103",1,"RIJC082",19,2.548914898
"104",2,"RIJC082",19,3.77277702566667
"105",1,"RIJC136",19.5,3.06459174283333
"106",2,"RIJC136",19,3.41889516683333
"107",1,"RIJC138",19.5,2.87771155466667
"108",2,"RIJC138",19,3.0297802205
"109",1,"RIJC139",19.5,3.1054147955
"110",2,"RIJC139",19,3.76579816633333
"111",1,"RIJC140",19,2.29484866366667
"112",2,"RIJC140",19,2.90002481383333
"113",1,"RIJC141",19,2.353631883
"114",2,"RIJC141",19,3.46107564016667
"115",1,"RIJC142",19,2.5028944525
"116",2,"RIJC142",19,3.3635426275
"117",1,"RIJC144",20,2.64749912716667
"118",2,"RIJC144",19,2.84628103583333
"119",1,"RIJC145",19.5,2.85835767066667
"120",2,"RIJC145",19,3.3165866515
"121",1,"RIJC146",19,2.488050095
"122",2,"RIJC146",19,3.248346878
"123",1,"RIJC147",19.5,2.51927322583333
"124",2,"RIJC147",19,3.171770302
"125",1,"RIJC203",19.5,2.7813645755
"126",2,"RIJC203",19,3.18280890166667
"127",1,"RIJC205",19,2.98809708683333
"128",2,"RIJC205",19,3.63353569333333
"129",1,"RIJC206",19.5,2.89390610733333
"130",2,"RIJC206",19,3.33460806733333
"131",1,"RIJC208",19.5,2.779457067
"132",2,"RIJC208",19,3.135219787
"133",1,"RIJC212",19,3.02213572866667
"134",2,"RIJC212",19,3.61008725716667
"135",1,"RIJC214",19.5,3.03441571633333
"136",2,"RIJC214",19,3.335920485
"137",1,"RIJC217",19.5,2.7605577435
"138",2,"RIJC217",19,3.2087434815
"139",1,"RIJC220",19.5,3.903944846
"140",2,"RIJC220",19,4.48994913933333
"141",1,"RIJC223",19.5,3.21802064433333
"142",2,"RIJC223",19,3.81698651383333
"143",1,"RIJC224",19.5,3.41451406133333
"144",2,"RIJC224",19,3.3554211285
"145",1,"RIJC225",19.5,3.07853740633333
"146",2,"RIJC225",19,2.86148993866667
"147",1,"RIJC230",19.5,2.607521328
"148",2,"RIJC230",19,3.31012250233333
"149",1,"RIJC232",19.5,2.47701207383333
"150",2,"RIJC232",19,3.19945085133333
"151",1,"RIJC233",19,2.81355717566667
"152",2,"RIJC233",19,3.83858324516667
"153",1,"RIJC234",19,2.287058728
"154",2,"RIJC234",19,2.96239952483333
"155",1,"RIJC235",20,2.5176472785
"156",2,"RIJC235",19,2.501778303
"157",1,"RIJC236",19,2.62365987733333
"158",2,"RIJC236",19,2.530350424
"159",1,"RIJC237",19.5,2.27026566516667
"160",2,"RIJC237",19,3.03916651416667
"161",1,"RIJC238",20,2.55973364816667
"162",2,"RIJC238",19,3.72163317216667
"163",1,"RIJC240",19.5,2.360344644
"164",2,"RIJC240",19,3.03645078266667
"165",1,"RIJC241",20,2.631537922
"166",2,"RIJC241",19,2.88671609566667
"168",2,"RIJC242",19,2.78241302075
"169",1,"RIJC243",19.5,3.068142454
"170",2,"RIJC243",19,3.187617171
"171",1,"RIJC244",20,2.8954019675
"172",2,"RIJC244",19,2.90136964566667
"173",1,"RIJC247",19.5,2.636072702
"174",2,"RIJC247",19,2.742419328
"175",1,"RIJC248",19,2.97460938083333
"176",2,"RIJC248",19,3.622764423
"177",1,"RIJC250",19.5,2.88742838066667
"178",2,"RIJC250",19,3.70352884416667
"179",1,"RIJC251",19.5,2.17976808966667
"180",2,"RIJC251",19,2.88416506416667
"181",1,"RIJC254",19,2.20033278416667
"182",2,"RIJC254",19,3.611053524
"183",1,"RIJC255",19.5,3.05871971283333
"184",2,"RIJC255",19,3.391600258
"185",1,"RIJC260",19,2.64064367233333
"186",2,"RIJC260",19,3.09101316233333
"187",1,"RIJC261",20,2.64200948333333
"188",2,"RIJC261",19,2.96641382383333
"189",1,"RIJC262",19.5,2.870862453
"190",2,"RIJC262",19,2.6881626935
"191",1,"RIJC264",20,3.37380505716667
"192",2,"RIJC264",19,4.01737475333333
"193",1,"RIJC302",20,2.55143352566667
"194",2,"RIJC302",19,3.603942577
"195",1,"RIJC313",19,2.57577904016667
"196",2,"RIJC313",19,3.70373328166667
"197",1,"RIJC314",19.5,2.2745436475
"198",2,"RIJC314",19,3.72785571066667
"199",1,"RIJC316",19.5,3.5114789365
"200",2,"RIJC316",19,4.83891814633333
"201",1,"RIJC319",19,2.768203653
"202",2,"RIJC319",19,4.13732461416667
