,geno,site,slope,inter,r2
110,RIJC352,1,0.258586961,-3.114125491,0.967089972
111,RIJC355,1,0.226932396,-2.187041441,0.973389195
112,RIJC361,1,0.261553608,-2.615760221,0.992072298
113,RIJC363,1,0.244871249,-1.314511708,0.999971699
114,RIJC367,1,0.271441768,-2.564431032,0.985691662
115,RIJC368,1,0.305663903,-3.104651653,0.984861216
116,RIJC372,1,0.258146648,-2.280415161,0.999884285
117,RIJC373,1,0.374064145,-4.669756459,0.985418938
118,RIJC374,1,0.294102001,-3.464242728,0.989260068
135,CAL,2,0.319493965,-2.278853632,0.999998894
141,JAM,2,0.249714884,-1.753143982,0.999593596
149,RIJC001,2,0.369674744,-4.448068852,0.992990439
150,RIJC002,2,0.332520323,-3.508739107,0.995142497
151,RIJC003,2,0.166780538,0.927500664,0.513172788
152,RIJC004,2,0.227626077,-1.361125983,0.999373846
153,RIJC005,2,0.279417171,-2.026865384,0.999296773
154,RIJC015,2,0.286202762,-2.295825734,0.999261318
155,RIJC016,2,0.271187064,-2.345802769,0.987924194
156,RIJC017,2,0.280965563,-2.583961429,0.937346489
157,RIJC018,2,0.21185858,-0.617032553,0.999076761
158,RIJC019,2,0.212872783,-2.152478189,0.999951201
159,RIJC020,2,0.340109639,-1.6979407,0.997875668
160,RIJC021,2,0.258260652,-1.444625762,0.99699842
161,RIJC025,2,0.344649095,-3.704960023,0.97867968
162,RIJC027,2,0.349916622,-2.796873962,0.986966246
163,RIJC030,2,0.287823549,-2.327492599,0.999710101
164,RIJC035,2,0.284135282,-1.825492899,0.990291347
165,RIJC045,2,0.219537748,-1.55272918,0.999780377
166,RIJC046,2,0.325196531,-2.999929703,0.999429106
167,RIJC047,2,0.352066241,-3.549821298,0.999841204
168,RIJC048,2,0.396591906,-4.113695428,0.990534617
169,RIJC049,2,0.248805334,-1.948620098,0.996835806
170,RIJC059,2,0.357968688,-2.826237322,0.999679478
171,RIJC065,2,0.346881905,-2.852994232,0.99855152
172,RIJC066,2,0.440449344,-5.340507088,0.994401867
173,RIJC069,2,0.36596509,-3.342497185,0.971476004
174,RIJC070,2,0.240287919,-1.723375375,0.99825353
175,RIJC071,2,0.313930524,-3.01878559,0.983886371
176,RIJC073,2,0.344497892,-2.693221794,0.999540782
177,RIJC074,2,0.286014029,-2.636564505,0.992336152
178,RIJC076,2,0.291788358,-2.696956567,0.992912137
179,RIJC078,2,0.248358108,-0.755510256,0.978852086
180,RIJC079,2,0.230025127,-1.460036319,0.999928988
181,RIJC080,2,0.368342316,-3.44663004,0.99029093
182,RIJC081,2,0.316320959,-2.900866204,0.996075186
183,RIJC082,2,0.443864215,-4.758340995,0.990997886
184,RIJC136,2,0.21732019,-0.751916206,0.993134703
185,RIJC138,2,0.296712411,-2.673171595,0.990968542
186,RIJC139,2,0.338844817,-2.712208243,0.997399789
187,RIJC140,2,0.445937853,-5.80548809,0.951426747
188,RIJC141,2,0.36085585,-3.443943429,0.996588541
189,RIJC142,2,0.274946576,-1.911087519,0.993678399
190,RIJC144,2,0.285835067,-2.562192307,0.998850543
191,RIJC145,2,0.330476767,-2.894644609,0.992163684
192,RIJC146,2,0.24807734,-1.428623665,0.995957704
193,RIJC147,2,0.346851385,-3.61881207,0.941092782
194,RIJC203,2,0.28601478,-2.184582257,0.989848941
195,RIJC205,2,0.242761153,-0.978828744,0.99999997
196,RIJC206,2,0.363096716,-3.67294759,0.983468194
197,RIJC208,2,0.296106335,-2.446335108,0.995789641
198,RIJC212,2,0.304630009,-2.255674612,0.987920628
199,RIJC214,2,0.260686771,-1.662655134,0.994313772
200,RIJC217,2,0.339828366,-3.393198057,0.966901161
201,RIJC220,2,0.451871052,-4.185406852,0.992648458
202,RIJC223,2,0.227642674,-0.429434248,0.978032045
203,RIJC224,2,0.211000316,-0.625994655,0.996804377
204,RIJC225,2,0.328208119,-3.289099325,0.987474694
205,RIJC230,2,0.249953237,-1.393791366,0.993906586
206,RIJC232,2,0.263378561,-1.793103854,0.999634039
207,RIJC233,2,0.315663802,-2.087712378,0.990520257
208,RIJC234,2,0.300427992,-2.76588939,0.999156649
209,RIJC235,2,0.205267181,-1.35094213,0.990119026
210,RIJC236,2,0.227174577,-1.802453225,0.999013448
211,RIJC237,2,0.314675898,-3.079868966,0.964119345
212,RIJC238,2,0.278510692,-1.442742951,0.96228932
213,RIJC240,2,0.288794623,-2.50315693,0.993839424
214,RIJC241,2,0.246796687,-1.915823809,0.961918938
215,RIJC242,2,0.304750091,-3.084468561,0.988283682
216,RIJC243,2,0.328787343,-3.20065532,0.966522943
217,RIJC244,2,0.302752905,-2.89233993,0.996505404
218,RIJC247,2,0.241274735,-1.88259933,0.994667289
219,RIJC248,2,0.321032346,-2.483062455,0.999929793
220,RIJC250,2,0.191439525,0.071270528,0.999867331
221,RIJC251,2,0.28287767,-2.581526328,0.980959119
222,RIJC254,2,0.27481141,-1.573850577,0.996700985
223,RIJC255,2,0.210809456,-0.533971563,0.973830485
224,RIJC260,2,0.269548852,-1.948287055,0.982891418
225,RIJC261,2,0.294835276,-2.574498812,0.992048825
226,RIJC262,2,0.225297733,-1.477391153,0.953343627
227,RIJC264,2,0.444055384,-4.60640633,0.967908941
228,RIJC302,2,0.253003542,-1.089274878,0.963421227
229,RIJC313,2,0.288557159,-1.737101099,0.996089941
