HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H7,446,P41,4.801,,16.86,,,,,5.095,1.2,98.965,
H7,446,P42,5.567,,19.47,,,,,6.041,1.173,92.193,
H7,446,P43,3.396,,15.252,,,,,4.305,1.005,95.085,
H7,446,P44,1.674,,10.119,,,,,3.469,0.614,90.438,
H7,446,P45,5.305,,20.759,,,,,4.264,1.584,86.511,
H7,446,P46,8.683,,20.364,,,,,7,1.579,86.923,
H7,446,P47,6.281,,18.329,,,,,6.22,1.286,89.194,
H7,446,P48,2.682,,12.923,,,,,2.92,1.169,100.663,
H7,446,P49,9.453,,19.799,,,,,7.45,1.616,92.367,
H7,446,P50,5.523,,15.057,,,,,4.992,1.409,87.989,
H7,446,P51,9.849,,21.368,,,,,7.251,1.729,87.838,
H7,446,P52,10.243,,21.496,,,,,7.881,1.655,87.49,
H7,446,P53,10.81,,21.252,,,,,8.119,1.695,92.133,
H7,446,P54,6.351,,14.085,,,,,5.497,1.471,97.266,
H7,446,P55,12.634,,23.037,,,,,9.248,1.74,95.791,
H7,446,PCIII1,2.01,,12.273,,,,,2.907,0.88,16.578,
H7,446,PCIII2,2.172,,11.905,,,,,4.017,0.689,8.767,
H7,446,PCIII3,2.362,,13.892,,,,,4.258,0.706,7.53,
H7,446,PCIII4,4.826,,14.924,,,,,5.848,1.051,179.433,
H7,446,PCIII5,2.818,,12.551,,,,,3.022,1.187,20.92,
H7,446,PCIII6,6.849,,21.202,,,,,6.86,1.271,2.845,
H7,446,PCIII7,7.776,,21.406,,,,,7.422,1.334,0.553,
H7,446,PCIII8,3.712,,14.001,,,,,4.424,1.068,174.547,
H7,446,PCIII9,4.121,,14.904,,,,,3.876,1.354,160.53,
H7,446,PCIII10,1.148,,7.287,,,,,2.198,0.665,139.081,
H7,446,PCIII11,0.844,,7.651,,,,,2.186,0.492,175.733,
H7,446,PCIII12,1.737,,8.683,,,,,2.881,0.768,153.716,
H7,446,PCIII13,1.198,,8.215,,,,,2.554,0.597,174.076,
H7,446,PCIII14,1.016,,7.357,,,,,1.809,0.715,138.041,
H8,446,P1,9.41,,20.556,,,,,7.967,1.504,84.916,
H8,446,P2,9.421,,22.433,,,,,7.463,1.607,82.626,
H8,446,P3,7.649,,24.151,,,,,6.007,1.621,103.638,
H8,446,P4,7.855,,18.142,,,,,7.371,1.357,78.76,
H8,446,P5,7.825,,20.38,,,,,7.205,1.383,61.563,
H8,446,P6,5.589,,15.29,,,,,6.628,1.074,81.766,
H8,446,P7,8.566,,19.899,,,,,7.5,1.454,75.178,
H8,446,P8,3.984,,14.825,,,,,4.659,1.089,96.47,
H8,446,P9,2.564,,10.84,,,,,3.462,0.943,92.993,
H8,446,P10,5.413,,19.174,,,,,6.373,1.081,97.164,
H8,446,P11,2.262,,10.398,,,,,4.021,0.716,93.667,
H8,446,P12,4.465,,15.037,,,,,5.223,1.089,87.302,
H8,446,P13,1.971,,11.106,,,,,3.173,0.791,114.747,
H8,446,P14,4.571,,22.729,,,,,4.643,1.254,50.635,
H8,446,P15,10.399,,20.569,,,,,8.331,1.589,92.646,
H8,446,P16,10.243,,20.558,,,,,8.364,1.559,92.7,
H8,446,P17,4.1,,15.197,,,,,5.854,0.892,89.155,
H8,446,P18,2.271,,10.415,,,,,3.628,0.797,110.942,
H8,446,P19,8.017,,17.444,,,,,6.902,1.479,82.688,
H8,446,P20,4.64,,13.1,,,,,5.041,1.172,89.078,
H8,446,P21,4.209,,14.921,,,,,5.082,1.054,100.52,
H8,446,P22,2.831,,13.246,,,,,4.429,0.814,129.55,
H8,446,P23,5.752,,15.562,,,,,5.661,1.294,69.929,
H8,446,P24,8.319,,20.885,,,,,7.359,1.439,91.871,
H8,446,P25,3.707,,14.679,,,,,4.962,0.951,56.922,
H8,446,P26,5.585,,15.684,,,,,5.578,1.275,74.354,
H8,446,P27,1.993,,9.56,,,,,3.321,0.764,83.583,
H8,446,P28,3.938,,17.96,,,,,5.72,0.877,85.249,
H8,446,P29,5.758,,19.939,,,,,5.982,1.226,74.284,
H8,446,P30,8.987,,23.645,,,,,7.755,1.475,96.037,
H8,446,P31,5.299,,19.799,,,,,4.626,1.458,91.453,
H8,446,P32,11.151,,25.558,,,,,8.714,1.629,84.564,
H8,446,P33,10.495,,26.81,,,,,9.083,1.471,79.331,
H8,446,P34,6.974,,18.923,,,,,6.922,1.283,89.542,
H8,446,P35,9.836,,23.44,,,,,7.967,1.572,97.337,
H8,446,P36,7.868,,20.35,,,,,7.737,1.295,112.666,
H8,446,P37,3.25,,14.415,,,,,4.818,0.859,89.51,
H8,446,P38,3.518,,18.139,,,,,5.092,0.88,93.038,
H8,446,P39,10.766,,30.316,,,,,8.666,1.582,101.02,
H8,446,P40,3.309,,16.784,,,,,4.311,0.977,114.425,
H8,446,P41,3.016,,13.845,,,,,4.659,0.824,119.834,
H8,446,P42,8.43,,22.911,,,,,7.973,1.346,116.611,
H8,446,P43,5.842,,16.758,,,,,5.942,1.252,66.853,
H8,446,P44,4.661,,16.682,,,,,5.252,1.13,39.016,
H8,446,P45,6.361,,18.672,,,,,6.065,1.335,105.777,
H8,446,P46,13.049,,29.029,,,,,10.531,1.578,74.847,
H8,446,P47,1.187,,8.934,,,,,2.851,0.53,98.57,
H8,446,P48,1.892,,14.245,,,,,3.655,0.659,76.326,
H8,446,P49,7.944,,22.378,,,,,7.618,1.328,79.234,
H8,446,P50,7.343,,20.019,,,,,7.038,1.329,60.257,
H8,446,P51,6.149,,27.563,,,,,6.585,1.189,20.574,
H8,446,P52,3.082,,12.409,,,,,4.435,0.885,23.075,
H8,446,P53,3.271,,14.684,,,,,4.953,0.841,30.714,
H8,446,P54,1.667,,8.7,,,,,3.01,0.705,36.87,
H8,446,P55,3.067,,12.492,,,,,4.421,0.883,10.897,
H8,446,P56,2.28,,10.596,,,,,4,0.726,19.515,
H8,446,P57,1.751,,9.091,,,,,2.672,0.834,43.05,
H8,446,P58,2.649,,13.692,,,,,3.739,0.902,20.271,
H8,446,P59,1.906,,10.595,,,,,3.383,0.717,26.932,
H8,446,P60,5.56,,18.047,,,,,5.92,1.196,19.981,
H8,446,P61,3.891,,14.941,,,,,5.385,0.92,15.881,
H8,446,PCIII1,4.402,,15.306,,,,,6.271,0.894,175.047,
H8,446,PCIIII2,4.693,,16.899,,,,,5.903,1.012,173.906,
H8,446,PCIII3,6.602,,17.962,,,,,6.086,1.381,170.648,
H8,446,PCIII2,3.015,,23.095,,,,,4.804,0.799,8.115,
H8,446,PCIIII3,3.108,,20.137,,,,,4.579,0.864,4.123,
H8,446,PCIII4,6.06,,18.695,,,,,6.516,1.184,2.513,
H8,446,PCIII3,2.805,,13.479,,,,,4.34,0.823,178.302,
FH,446,PCI1,3.968,,12.646,,,,,4.765,1.06,174.842,
FH,446,PCII1,1.137,,9.288,,,,,2.749,0.526,106.417,
FH,446,PCII2,1.029,,9.552,,,,,2.361,0.555,103.191,
FH,446,PCIII1,5.628,,19.895,,,,,4.966,1.443,93.636,
FH,446,PCIII2,5.26,,17.021,,,,,5.103,1.313,93.731,
FH,446,PCIII3,4.159,,15.232,,,,,3.747,1.413,112.746,
FH,446,PCIII4,2.263,,11.842,,,,,3.624,0.795,84.111,
FH,446,PCIII5,2.67,,12.582,,,,,4.246,0.801,105.737,
FH,446,PCIII6,1.46,,11.183,,,,,2.413,0.77,95.602,
FH,446,PCIII7,3.064,,14.876,,,,,3.275,1.191,132.508,
FH,446,PCIII8,3.742,,16.047,,,,,5.24,0.909,111.223,
FH,446,PCIII9,2.902,,16.761,,,,,2.292,1.612,103.401,
FH,446,PCIII10,3.615,,18.568,,,,,3.709,1.241,134.5,
FH,446,PCIII11,2.455,,13.529,,,,,2.887,1.083,137.842,
H1,405,PL1,20.873,,22.116,,,,,5.475,4.854,157.803,
H1,405,PL2,20.446,,20.547,,,,,5.294,4.917,89.997,
H1,405,V1,46.336,,40.711,,,,,9.439,6.251,109.307,
H1,405,V2,43.48,,38.607,,,,,8.591,6.444,140.693,
H1,405,V3,23.891,,30.446,,,,,6.314,4.818,152.706,
H1,405,V4,1.695,,9.297,,,,,2.104,1.026,160.708,
H1,405,Stem,7.898,,30.748,,,,,3.852,2.61,95.286,
H1,405,B1,0.904,,6.463,,,,,1.262,0.912,98.594,
H1,D68,PL1,24.801,,24.027,,,,,6.46,4.888,170.432,
H1,D69,PL2,27.872,,25.403,,,,,6.986,5.08,176.139,
H1,D70,V1,80.077,,58.291,,,,,11.206,9.099,119.106,
H1,D71,V2,77.877,,53.695,,,,,10.147,9.772,171.475,
H1,D72,V3,49.642,,52.286,,,,,10.356,6.104,130.319,
H1,D73,V4,2.168,,9.518,,,,,1.904,1.45,140.75,
H1,D74,Stem,12.725,,50.283,,,,,5.632,2.877,73.742,
H1,D75,B1,2.695,,15.442,,,,,2.325,1.476,110.143,
H1,468,PL1,11.066,,22.821,,,,,6.848,2.057,85.561,
H1,468,PL2,23.201,,25.204,,,,,7.478,3.95,70.852,
H1,468,V1,33.049,,40.005,,,,,8.828,4.767,21.774,
H1,468,V2,58.77,,47.732,,,,,9.454,7.915,59.641,
H1,468,V3,25.756,,38.588,,,,,6.404,5.121,146.812,
H1,468,V4,0.972,,6.54,,,,,1.224,1.011,81.309,
H1,468,Stem,11.784,,42.83,,,,,5.757,2.606,94.948,
H1,469,V1,15.126,,18.129,,,,,4.552,4.231,157.242,
H1,469,V2,16.087,,17.746,,,,,4.977,4.115,11.105,
H1,469,V3,32.693,,32.51,,,,,8.997,4.626,17.663,
H1,469,V4,20.346,,32.454,,,,,5.551,4.667,104.827,
H1,469,Stem,4.509,,24.979,,,,,3.998,1.436,94.159,
H2,443,PL1,19.093,,29.563,,,,,5.361,4.534,56.545,
H2,443,Pl2,20.397,,19.16,,,,,5.642,4.603,54.258,
H2,443,V1,74.264,,71.786,,,,,10.373,9.116,175.807,
H2,443,V2,95.516,,65.559,,,,,12.075,10.071,81.66,
H2,443,V3,131.444,,77.509,,,,,15.427,10.848,37.65,
H2,443,V4,51.969,,54.933,,,,,9.207,7.187,104.619,
H2,443,V5,2.695,,9.272,,,,,2.384,1.439,43.075,
H2,443,Stem,18.23,,73.214,,,,,7.251,3.201,121.919,
H2,443,B1,42.21,,56.138,,,,,8.461,6.352,133.191,
H2,468,PL1,44.405,,30.616,,,,,8.452,6.689,94.486,
H2,468,V1,103.424,,88.242,,,,,14.897,8.84,155.305,
H2,468,V2,101.005,,89.669,,,,,12.418,10.356,65.506,
H2,468,V3,126.812,,77.757,,,,,17.355,9.304,1.47,
H2,468,V4,96.037,,86.082,,,,,11.481,10.65,145.392,
H2,468,V5,28.129,,45.273,,,,,8.175,4.381,170.914,
H2,468,Stem,39.896,,108.184,,,,,14.467,3.511,14.449,
H2,468,B1,32.31,,30.585,,,,,7.551,5.448,37.369,
H2,468,B2,61.635,,66.113,,,,,10.144,7.736,155.673,
H2,468,B3,4.151,,17.887,,,,,2.624,2.014,45.955,
H2,468,B4,1.212,,7.157,,,,,1.646,0.937,145.608,
H3,468,V1,94.813,,59.919,,,,,11.407,10.583,155.783,
H3,468,V2,96.11,,71.654,,,,,15.276,8.011,134.646,
H3,468,V3,88.696,,62.696,,,,,12.489,9.042,0.813,
H3,468,V4,139.072,,73.104,,,,,15.311,11.565,175.81,
H3,468,V5,121.417,,92.492,,,,,13.888,11.132,163.633,
H3,468,V6,204.071,,94.749,,,,,19.811,13.116,38.835,
H3,468,V7,199.202,,92.113,,,,,16.91,14.999,163.015,
H3,468,V8,99.247,,71.73,,,,,12.6,10.029,42.748,
H3,468,B1,40.191,,68.3,,,,,8.531,5.998,35.987,
H3,468,B2,29.373,,30.845,,,,,7.983,4.685,73.166,
H3,468,B3,4.626,,18.942,,,,,2.693,2.187,57.157,
H3,468,B4,97.992,,65.288,,,,,13.235,9.427,78.348,
H3,468,B5,85.27,,75.921,,,,,13.285,8.172,10.572,
H3,468,B6,43.747,,39.107,,,,,8.73,6.38,32.18,
H3,468,B7,77.768,,82.139,,,,,10.691,9.262,86.495,
H3,468,B8,189.785,,99.241,,,,,16.546,14.604,169.468,
H3,468,B9,77.555,,62.578,,,,,10.492,9.411,2.626,
H3,468,B10,1.309,,12.497,,,,,1.718,0.971,40.939,
H3,468,B11,1.39,,11.254,,,,,1.73,1.023,101.368,
H3,468,B12,80.544,,75.791,,,,,11.078,9.257,86.846,
H3,468,B13,6.944,,22.673,,,,,3.25,2.721,81.939,
H3,468,B14,24.198,,45.592,,,,,7.699,4.002,72.564,
H3,468,B15,42.847,,48.452,,,,,8.605,6.34,23.865,
H3,468,B16,111.05,,76.9,,,,,15.307,9.237,53.104,
H3,468,B17,118.649,,66.812,,,,,13.065,11.563,99.297,
H3,468,B18,2.605,,15.406,,,,,2.094,1.584,21.194,
H3,468,B19,55.679,,62.667,,,,,9.84,7.205,120.539,
H3,468,B20,85.736,,85.427,,,,,12.216,8.936,156.378,
H3,468,B21,1.212,,10.571,,,,,1.294,1.192,71.723,
H3,468,B22,58.886,,59.003,,,,,13.407,5.592,73.953,
H3,468,B23,8.03,,13.027,,,,,4.233,2.415,87.717,
H3,468,B24,69.142,,76.265,,,,,12.555,7.012,76.899,
H3,468,STEM,162.22,,258.895,,,,,26.296,7.855,47.052,35.27
H4,468,V1,50.386,,60.611,,,,,9.168,6.998,61.966,
H4,468,V2,79.936,,55.637,,,,,12.296,8.277,6.599,
H4,468,V3,158.542,,84.76,,,,,15.083,13.383,50.073,
H4,468,V4,139.666,,81.678,,,,,16.715,10.639,123.588,
H4,468,V5,139.749,,81.315,,,,,14.607,12.182,31.568,
H4,468,V6,160.563,,86.293,,,,,15.175,13.472,30.11,
H4,468,V7,167.87,,95.548,,,,,15.57,13.727,165.278,
H4,468,B1,137.834,,86.875,,,,,16.787,10.454,85.915,
H4,468,B2,78.493,,66.673,,,,,10.277,9.725,78.653,
H4,468,B3,124.994,,79.982,,,,,14.677,10.843,169.12,
H4,468,B4,83.17,,60.955,,,,,12.184,8.691,110.578,
H4,468,B5,85.047,,64.503,,,,,11.148,9.713,113.032,
H4,468,B6,41.204,,45.693,,,,,10.424,5.033,49.856,
H4,468,B7,99.491,,70.405,,,,,12.426,10.194,99.588,
H4,468,B8,9.344,,21.482,,,,,4.28,2.78,147.947,
H4,468,B9,107.717,,88.016,,,,,11.914,11.511,8.984,
H4,468,B10,5.195,,22.505,,,,,3.042,2.175,174.054,
H4,468,B11,15.252,,35.162,,,,,4.629,4.195,98.389,
H4,468,B12,90.19,,68.089,,,,,12.751,9.006,25.784,
H4,468,B13,56.376,,49.523,,,,,10.557,6.799,51.517,
H4,468,B14,108.403,,78.004,,,,,12.192,11.321,72.272,
H4,468,B15,116.263,,69.684,,,,,13.745,10.77,52.915,
H4,468,B16,125.742,,82.889,,,,,15.172,10.553,53.328,
H4,468,B17,86.58,,63.907,,,,,12.882,8.557,46.444,
H4,468,B18,184.797,,84.653,,,,,16.373,14.371,0.982,
H4,468,B19,50.012,,58.289,,,,,9.541,6.674,67.585,
H4,468,B20,10.06,,28.788,,,,,4.488,2.854,156.416,
H4,468,B21,58.069,,58.385,,,,,14.896,4.963,93.209,
H4,468,B22,87.643,,62.705,,,,,11.592,9.627,95.905,
H4,468,B23,75.117,,65.701,,,,,11.483,8.329,53.419,
H4,468,B24,33.491,,41.151,,,,,7.742,5.508,91.038,
H4,468,B25,152.09,,79.102,,,,,14.525,13.332,101.99,
H4,468,B26,112.406,,69.64,,,,,13.259,10.794,165.521,
H4,468,B27,73.253,,58.364,,,,,10.321,9.037,88.689,
H4,468,B28,172.623,,93.906,,,,,16.418,13.387,162.442,
H4,468,B29,143.309,,119.984,,,,,14.489,12.594,100.276,
H4,468,B30,14.811,,29.707,,,,,6.126,3.078,157.22,
H4,468,B31,13.819,,21.676,,,,,4.476,3.931,78.492,
H4,468,B32,5.657,,17.799,,,,,3.342,2.155,27.749,
H4,468,Stem,207.732,,305.695,,,,,22.06,11.99,165.321,
H6,468,Stem,539.62,,567.486,,,,,41.997,16.36,69.473,
H7,468,Stem,520.867,,314.964,,,,,36.909,17.968,92.744,
H8,468,Stem,667.687,,595.202,,,,,39.89,21.312,86.591,
H8,468,P1,2.395,,12.091,,,,,3.651,0.835,92.619,
H8,468,P2,1.24,,9.389,,,,,2.447,0.645,107.317,
H8,468,P3,0.773,,7.303,,,,,1.445,0.681,93.994,
H8,468,P4,0.782,,7.465,,,,,1.609,0.619,115.325,
H8,468,P5,0.866,,7.017,,,,,2.485,0.444,92.506,
H8,468,P6,0.525,,5.333,,,,,1.544,0.433,80.015,
H8,468,P7,0.59,,6.205,,,,,1.436,0.523,103.262,
H8,468,P8,0.612,,6.738,,,,,1.515,0.515,113.262,
H8,468,P9,0.339,,3.586,,,,,1.138,0.379,97.224,
H9,468,Stem,991.585,,574.551,,,,,42.47,29.727,149.293,
