HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H9,65,P7,0.776,,7.68,,,,,2.111,0.468,104.994,
H9,65,P8,2.013,,14.322,,,,,3.184,0.805,99.345,
H9,65,P9,0.953,,8.604,,,,,2.243,0.541,118.688,
H9,65,P10,1.705,,11.213,,,,,2.274,0.955,109.821,
H9,65,P11,2.174,,12.722,,,,,4.963,0.558,117.888,
H9,65,P12,1.769,,12.315,,,,,3.366,0.669,109.597,
H9,65,P13,0.418,,6.595,,,,,1.406,0.379,128.193,
H9,65,P14,0.726,,5.998,,,,,1.978,0.467,76.96,
H9,65,P15,1.105,,8.737,,,,,1.849,0.761,82.904,
H9,65,P16,0.849,,9.088,,,,,2.704,0.4,107.561,
H9,65,P17,1.149,,11.586,,,,,2.429,0.602,100.183,
H9,65,P18,0.613,,5.867,,,,,1.56,0.5,98.265,
H9,65,P19,0.681,,7.071,,,,,1.666,0.52,123.363,
H9,65,P20,0.881,,8.752,,,,,2.567,0.437,100.615,
H9,65,P21,0.573,,6.71,,,,,1.776,0.411,115.581,
H9,65,P22,0.511,,3.477,,,,,1.13,0.576,120.019,
H9,65,P23,2.106,,15.926,,,,,3.018,0.889,105.609,
H9,65,P24,1.707,,14.221,,,,,2.679,0.811,115.615,
H9,65,P25,2.748,,17.675,,,,,4.293,0.815,109.364,
H9,65,P26,1.319,,9.506,,,,,2.847,0.59,110.284,
H9,65,P27,3.193,,14.545,,,,,4.255,0.956,101.779,
H9,65,P28,2.242,,15.751,,,,,4.151,0.688,81.619,
H9,65,P29,0.908,,8.673,,,,,2.859,0.404,104.176,
H9,65,P30,1.379,,12.112,,,,,3.145,0.558,56.498,
H9,65,P31,0.878,,9.482,,,,,2.628,0.425,120.225,
H9,65,P32,5.205,,20.438,,,,,7.394,0.896,90.973,
H9,65,P33,3.497,,15.52,,,,,4.943,0.901,99.352,
H9,65,P34,3.782,,17.896,,,,,4.792,1.005,86.503,
H9,65,P35,3.188,,16.572,,,,,3.609,1.125,108.194,
H9,65,P36,2.153,,15.517,,,,,3.078,0.891,90.115,
H9,65,P37,3.191,,19.842,,,,,3.267,1.244,104.17,
H9,65,P38,2.912,,14.498,,,,,4.279,0.867,109.238,
H9,65,P39,2.157,,14.009,,,,,2.863,0.959,97.008,
H9,65,P40,2.049,,14.138,,,,,2.613,0.998,118.451,
H9,65,P41,3.117,,17.595,,,,,4.211,0.943,98.579,
H9,65,P42,2.406,,14.581,,,,,2.785,1.1,99.873,
H9,65,P43,1.103,,11.481,,,,,3.865,0.363,89.549,
H9,65,P44,4.266,,17.258,,,,,4.679,1.161,97.329,
H9,65,P45,1.162,,9.66,,,,,2.46,0.601,116.241,
H9,65,P46,11,,30.253,,,,,11.777,1.189,88.147,
H9,65,P47,10.481,,32.707,,,,,10.003,1.334,104.934,
H9,65,P48,11.809,,29.045,,,,,11.352,1.325,94.489,
H9,65,P49,13.806,,32.705,,,,,12.583,1.397,94.036,
H9,65,P50,13.827,,30.48,,,,,11.916,1.477,94.89,
H9,65,P51,10.165,,27.412,,,,,10.344,1.251,96.917,
H9,65,P52,8.06,,26.093,,,,,7.427,1.382,95.046,
H9,65,P53,4.476,,16.036,,,,,5.3,1.075,97.204,
H9,65,P54,15.248,,35.178,,,,,11.59,1.675,95.9,
H9,65,P55,6.107,,19.119,,,,,6.715,1.158,87.02,
H9,65,P56,6.729,,20.004,,,,,8.002,1.071,97.647,
H9,65,P57,8.609,,23.98,,,,,7.708,1.422,99.026,
H10,65,P1,12.444,,30.684,,,,,9.219,1.719,173.233,
H10,65,P2,14.618,,38.299,,,,,8.839,2.106,178.129,
H10,65,P3,11.892,,29.183,,,,,8.801,1.721,171.764,
H10,65,P4,11.394,,35.232,,,,,8.478,1.711,2.776,
H10,65,P5,11.933,,39.825,,,,,10.595,1.434,3.056,
H10,65,P6,13.614,,35.518,,,,,9.103,1.904,10.233,
H10,65,P7,11.585,,37.275,,,,,11.477,1.285,6.692,
H10,65,P8,12.12,,28.205,,,,,10.582,1.458,10.154,
H10,65,P9,13.251,,39.343,,,,,11.745,1.436,5.848,
H10,65,P10,17.114,,32,,,,,14.813,1.471,5.914,
H10,65,P11,17.698,,28.505,,,,,12.715,1.772,6.542,
H10,65,P12,20.107,,29.691,,,,,12.616,2.029,5.709,
H10,65,P13,17.025,,27.65,,,,,13.168,1.646,9.284,
H10,65,P14,12.414,,33.351,,,,,8.868,1.782,7.891,
H10,65,P15,17.096,,34.198,,,,,11.458,1.9,5.991,
H10,65,P16,18.436,,38.511,,,,,13.148,1.785,8.086,
H10,65,P17,21.861,,31.51,,,,,13.069,2.13,2.662,
H10,65,P18,14.712,,27.628,,,,,11.418,1.641,11.264,
H10,65,P19,17.207,,30.253,,,,,14.813,1.479,8.428,
H10,65,P20,12.548,,23.157,,,,,10.62,1.504,5.392,
H10,65,P21,8.525,,24.026,,,,,6.372,1.703,8.329,
H10,65,P22,14.733,,25.243,,,,,11.986,1.565,5.043,
H10,65,P23,13.384,,27.103,,,,,11.29,1.509,10.969,
